type,np,stat,pMSE_LR_V,pMSE_LR_R,pMSE_LR_S,pMSE_T_V,pMSE_T_R,pMSE_T_S,IDR,CAP_0,CAP_NA,Pop_Uniq,JSD,Dpa,Dcb,Authenticity,Record_Linkage,DCR,NNDR,Pairwise Correlation
orig,1000x50,mean,0.021056686,0.851639555,-1.078164547,0.12439884,1.007494474,0.20128083,0,0,0,0,0.540342684,0.631172417,0.702068967,0.78,0,2.854359227,0.878238949,2.867070908
orig,1000x50,sd,0,0.011244971,0.144041124,0.000752357,0.008719512,0.231520401,0,0,0,0,1.17E-16,1.17E-16,0,0,0,0,0,0
orig,1000x50,min,0.021056686,0.834830385,-1.382682362,0.122929859,0.99385423,-0.173114588,0,0,0,0,0.540342684,0.631172417,0.702068967,0.78,0,2.854359227,0.878238949,2.867070908
orig,1000x50,max,0.021056686,0.866183142,-0.8430695,0.125585018,1.023059693,0.634784352,0,0,0,0,0.540342684,0.631172417,0.702068967,0.78,0,2.854359227,0.878238949,2.867070908
synthpop_default,1000x50,mean,0.02352377,0.958138862,-0.317604877,0.125124857,1.012250094,0.301769032,0,0,0,0,0.377741483,0.63462069,0.827862069,0.764,0,2.891502749,0.871706957,2.849925705
synthpop_default,1000x50,sd,3.66E-18,0.013381821,0.118245743,0,0.004209058,0.107734415,0,0,0,0,0,0,0,0,0,4.68E-16,0,0
synthpop_default,1000x50,min,0.02352377,0.943235346,-0.520272071,0.125124857,1.004730075,0.135150368,0,0,0,0,0.377741483,0.63462069,0.827862069,0.764,0,2.891502749,0.871706957,2.849925705
synthpop_default,1000x50,max,0.02352377,0.989475008,-0.082853101,0.125124857,1.019180691,0.504258814,0,0,0,0,0.377741483,0.63462069,0.827862069,0.764,0,2.891502749,0.871706957,2.849925705
synthpop_spline,1000x50,mean,0.01877463,0.762370873,-1.87486259,0.128714132,1.040262633,1.086063979,0,0,0,0,0.440566229,0.65475862,0.738482758,0.748,0,2.967262735,0.883503662,2.8928327
synthpop_spline,1000x50,sd,0,0.014743383,0.22252856,0.000281198,0.003599462,0.208219471,0,0,0,0,0,0,0,0,0,0,0,0
synthpop_spline,1000x50,min,0.01877463,0.739263225,-2.40332979,0.128496317,1.032863425,0.761057492,0,0,0,0,0.440566229,0.65475862,0.738482758,0.748,0,2.967262735,0.883503662,2.8928327
synthpop_spline,1000x50,max,0.01877463,0.784163391,-1.570486352,0.129040855,1.046863592,1.458450533,0,0,0,0,0.440566229,0.65475862,0.738482758,0.748,0,2.967262735,0.883503662,2.8928327
synthpop_density,1000x50,mean,0.021053039,0.844995333,-1.139686376,0.121623921,0.982081548,-0.466715673,0,0,0,0,0.463501579,0.652551725,0.770068962,0.77,0,2.927226964,0.880474723,2.869957812
synthpop_density,1000x50,sd,0,0.009561646,0.082539088,0.000153167,0.007172101,0.19337735,0,0,0,0,0,0,0,1.17E-16,0,0,1.17E-16,0
synthpop_density,1000x50,min,0.021053039,0.830548434,-1.256675076,0.121528795,0.97195436,-0.779680852,0,0,0,0,0.463501579,0.652551725,0.770068962,0.77,0,2.927226964,0.880474723,2.869957812
synthpop_density,1000x50,max,0.021053039,0.862201099,-1.003847733,0.121845882,0.991386764,-0.224929395,0,0,0,0,0.463501579,0.652551725,0.770068962,0.77,0,2.927226964,0.880474723,2.869957812
ctgan,1000x50,mean,0.111268937,4.573944277,26.46480497,0.190449973,1.544651516,14.52443253,0,0,0,0,4.406721815,0.42565517,0.421793105,0.776,0,2.625696483,0.86346341,3.011624461
ctgan,1000x50,sd,0,0.124718574,1.467273125,0,0.006372712,0.744864584,0,0,0,0,0,0,0,0,0,0,0,0
ctgan,1000x50,min,0.111268937,4.388076255,24.24167206,0.190449973,1.53435307,13.42364481,0,0,0,0,4.406721815,0.42565517,0.421793105,0.776,0,2.625696483,0.86346341,3.011624461
ctgan,1000x50,max,0.111268937,4.761512183,28.48915786,0.190449973,1.553047645,15.71228253,0,0,0,0,4.406721815,0.42565517,0.421793105,0.776,0,2.625696483,0.86346341,3.011624461
orig,1000x100,mean,0.046002317,0.943147332,-0.582073618,0.137626131,1.005130416,0.171040136,0,0,0,0,1.130494138,0.613793098,0.653931031,0.758,0,8.274717411,0.92236994,5.586499166
orig,1000x100,sd,0,0.014380783,0.160146465,0.000628385,0.010351987,0.317952384,0,0,0,0,0,0,0,0,0,1.87E-15,0,0
orig,1000x100,min,0.046002317,0.917913931,-0.81867333,0.136920526,0.990765327,-0.234924412,0,0,0,0,1.130494138,0.613793098,0.653931031,0.758,0,8.274717411,0.92236994,5.586499166
orig,1000x100,max,0.046002317,0.96672841,-0.314282983,0.138376188,1.021104585,0.67828464,0,0,0,0,1.130494138,0.613793098,0.653931031,0.758,0,8.274717411,0.92236994,5.586499166
synthpop_default,1000x100,mean,0.044565609,0.919212674,-0.775654338,0.145322174,1.064605777,1.777735487,0,0,0,0,0.830466661,0.659448281,0.738206898,0.766,0,8.489578625,0.927269008,5.676640064
synthpop_default,1000x100,sd,0,0.013890961,0.211118804,0.000490892,0.003082619,0.14985194,0,0,0,0,0,0,0,0,0,0,0,0
synthpop_default,1000x100,min,0.044565609,0.905773677,-1.13168313,0.144846676,1.060606268,1.501148594,0,0,0,0,0.830466661,0.659448281,0.738206898,0.766,0,8.489578625,0.927269008,5.676640064
synthpop_default,1000x100,max,0.044565609,0.94934686,-0.437597921,0.146035421,1.069564073,2.003547902,0,0,0,0,0.830466661,0.659448281,0.738206898,0.766,0,8.489578625,0.927269008,5.676640064
synthpop_spline,1000x100,mean,0.048635148,1.004751995,0.050215263,0.140088319,1.026559102,0.72726801,0,0,0,0,0.932056591,0.616413793,0.776689657,0.8,0,8.567385599,0.930876058,5.701570569
synthpop_spline,1000x100,sd,0,0.009673365,0.09309642,0.000351706,0.007580229,0.236490047,0,0,0,0,1.17E-16,1.17E-16,0,0,0,1.87E-15,0,9.36E-16
synthpop_spline,1000x100,min,0.048635148,0.98613418,-0.127139137,0.139530007,1.013556457,0.316645876,0,0,0,0,0.932056591,0.616413793,0.776689657,0.8,0,8.567385599,0.930876058,5.701570569
synthpop_spline,1000x100,max,0.048635148,1.019013321,0.168595007,0.140406631,1.038170508,1.084357929,0,0,0,0,0.932056591,0.616413793,0.776689657,0.8,0,8.567385599,0.930876058,5.701570569
synthpop_density,1000x100,mean,0.05034473,1.040906862,0.394251057,0.134646272,0.984639271,-0.427256052,0,0,0,0,0.976043177,0.569655167,0.745241375,0.764,0,8.618420626,0.927463731,5.694769007
synthpop_density,1000x100,sd,0,0.005997083,0.06691403,0.000574293,0.00628872,0.17938839,0,0,0,0,1.17E-16,0,1.17E-16,0,0,0,1.17E-16,0
synthpop_density,1000x100,min,0.05034473,1.029968291,0.290753373,0.133810805,0.971687109,-0.804035089,0,0,0,0,0.976043177,0.569655167,0.745241375,0.764,0,8.618420626,0.927463731,5.694769007
synthpop_density,1000x100,max,0.05034473,1.048178557,0.50044348,0.135379237,0.992211677,-0.23406541,0,0,0,0,0.976043177,0.569655167,0.745241375,0.764,0,8.618420626,0.927463731,5.694769007
ctgan,1000x100,mean,0.201650597,4.24729325,31.79151762,0.1995339,1.468237875,13.25797032,0,0,0,0,9.316431711,0.219862066,0.173931032,0.596,0,8.095430981,0.927447909,5.828670792
ctgan,1000x100,sd,0,0.050209975,2.991324407,0.000523712,0.007029449,1.190634816,0,0,0,0,1.87E-15,2.93E-17,2.93E-17,0,0,1.87E-15,0,0
ctgan,1000x100,min,0.201650597,4.149642961,28.11473453,0.198576759,1.457244114,11.32763731,0,0,0,0,9.316431711,0.219862066,0.173931032,0.596,0,8.095430981,0.927447909,5.828670792
ctgan,1000x100,max,0.201650597,4.311934837,35.71297395,0.200051973,1.479704576,14.87155304,0,0,0,0,9.316431711,0.219862066,0.173931032,0.596,0,8.095430981,0.927447909,5.828670792
orig,5000x5,mean,0.000670565,1.227118402,0.558147109,0.048174541,1.031489983,0.813854743,0.095299484,0.010434908,0.010713999,0.255262886,0.021006246,0.974394293,0.984143639,0.354,0.0357488,0.002309017,0.618819472,0.081875594
orig,5000x5,sd,1.10E-19,0.067071699,0.183259785,0.000160708,0.006832888,0.188232203,0.008665404,0.001766093,0.001771282,0.021304383,3.50E-18,0,1.12E-16,0,0,0,0,1.40E-17
orig,5000x5,min,0.000670565,1.087328606,0.230109143,0.047903733,1.015672751,0.405541089,0.083859559,0.00596316,0.006235006,0.205804749,0.021006246,0.974394293,0.984143639,0.354,0.0357488,0.002309017,0.618819472,0.081875594
orig,5000x5,max,0.000670565,1.399058449,1.060923259,0.0483571,1.050906547,1.272569286,0.121816028,0.013175349,0.013455218,0.295384615,0.021006246,0.974394293,0.984143639,0.354,0.0357488,0.002309017,0.618819472,0.081875594
synthpop_default,5000x5,mean,0.000677913,1.23161322,0.55218397,0.037926293,0.841706252,-3.952015793,0.096315851,0.011506894,0.011706728,0.307060044,0.014339208,0.965931043,0.982206889,0.2592,0.03562096,0.002727862,0.613866537,0.111167324
synthpop_default,5000x5,sd,1.10E-19,0.072484553,0.196071148,5.45E-05,0.005075113,0.428451672,0.006649105,0.001572509,0.001585459,0.021641325,1.75E-18,1.12E-16,1.12E-16,0,0,4.38E-19,0,1.40E-17
synthpop_default,5000x5,min,0.000677913,1.087799575,0.155417046,0.037869548,0.833645372,-4.917450916,0.087456273,0.008180052,0.008346992,0.258358663,0.014339208,0.965931043,0.982206889,0.2592,0.03562096,0.002727862,0.613866537,0.111167324
synthpop_default,5000x5,max,0.000677913,1.416989648,1.044167434,0.038011492,0.854809869,-3.299473343,0.109329629,0.014248069,0.014503328,0.358974359,0.014339208,0.965931043,0.982206889,0.2592,0.03562096,0.002727862,0.613866537,0.111167324
synthpop_spline,5000x5,mean,0.000761296,1.384624101,0.924188745,0.03861252,0.857054404,-3.601469879,0.09499301,0.011239307,0.0114422,0.316472739,0.018837502,0.962924136,0.975716528,0.2592,0.03577232,0.002453301,0.622068043,0.10865516
synthpop_spline,5000x5,sd,0,0.067337195,0.189315915,9.15E-05,0.006195345,0.401481258,0.008399257,0.00171701,0.001724343,0.020695077,0,1.12E-16,0,0,7.01E-18,0,1.12E-16,1.40E-17
synthpop_spline,5000x5,min,0.000761296,1.200318183,0.469033524,0.038382771,0.843426752,-4.946874721,0.087362451,0.007614817,0.007795677,0.271954674,0.018837502,0.962924136,0.975716528,0.2592,0.03577232,0.002453301,0.622068043,0.10865516
synthpop_spline,5000x5,max,0.000761296,1.515415716,1.426555468,0.038824458,0.868617974,-2.719938541,0.111331362,0.014192457,0.014393973,0.36101083,0.018837502,0.962924136,0.975716528,0.2592,0.03577232,0.002453301,0.622068043,0.10865516
synthpop_density,5000x5,mean,0.000658695,1.19878753,0.480137955,0.039594807,0.875955422,-3.177818775,0.097373926,0.010836545,0.011019976,0.314624276,0.013598216,0.964606902,0.975930562,0.2728,0.03553312,0.002409005,0.60170833,0.102695483
synthpop_density,5000x5,sd,0,0.089902055,0.210953764,5.08E-05,0.004976326,0.337987357,0.008483931,0.00183374,0.001845036,0.022222181,1.75E-18,1.12E-16,1.12E-16,0,0,4.38E-19,1.12E-16,1.40E-17
synthpop_density,5000x5,min,0.000658695,0.955194903,-0.104557733,0.039530474,0.863538878,-3.927390469,0.086421727,0.007318507,0.007434485,0.258555133,0.013598216,0.964606902,0.975930562,0.2728,0.03553312,0.002409005,0.60170833,0.102695483
synthpop_density,5000x5,max,0.000658695,1.428589265,1.072041843,0.03964714,0.88432765,-2.586538999,0.111905463,0.014399578,0.01456268,0.353383459,0.013598216,0.964606902,0.975930562,0.2728,0.03553312,0.002409005,0.60170833,0.102695483
ctgan,5000x5,mean,0.000867822,1.5673404,1.383829173,0.069550592,1.466717448,12.16104772,0.089001089,0.007646386,0.007811508,0.238150652,0.10475778,0.932082757,0.950124145,0.4156,0.03519264,0.001363751,0.598648231,0.397414044
ctgan,5000x5,sd,0,0.085194128,0.261806632,5.52E-05,0.007496474,0.958123124,0.008347784,0.001126614,0.001121924,0.022794092,0,0,2.24E-16,0,0,0,1.12E-16,5.61E-17
ctgan,5000x5,min,0.000867822,1.433037177,0.917888874,0.069448705,1.450475717,10.0606079,0.078287453,0.005884329,0.006021622,0.19205298,0.10475778,0.932082757,0.950124145,0.4156,0.03519264,0.001363751,0.598648231,0.397414044
ctgan,5000x5,max,0.000867822,1.802499394,2.133162079,0.069657595,1.483796766,14.56127191,0.104746949,0.009533628,0.00969653,0.276397516,0.10475778,0.932082757,0.950124145,0.4156,0.03519264,0.001363751,0.598648231,0.397414044
orig,5000x10,mean,0.001105208,1.048622036,0.162535712,0.0790104,1.047735472,1.868210878,0.008489333,1.50E-05,0.00083182,0.008126101,0.031936298,0.985841622,0.978362913,0.5588,0.00733808,0.026937916,0.677903895,0.20663976
orig,5000x10,sd,0,0.050838295,0.178226775,6.82E-05,0.003913649,0.202875773,0.0016254,2.38E-06,7.04E-05,0.001347513,0,0,0,0,0,3.50E-18,0,0
