"조사연도","행정구역시도코드","농가자산","고정자산","토지면적","토지평가금액","건물면적","건물평가금액","구축물금액","기계기구비품금액","대동물금액","대식물금액","무형자산","유동자산","재고자산연초금액","재고자산연말금액","소동물연초금액","소동물연말금액","농축산물연초금액","농축산물연말금액","농업생산자재연초금액","농업생산자재연말금액","당좌자산","현금","예금등금융자산","미수금선급금액","농업용금액","가계용금액","겸업용금액","기타금액"
"2022","부산광역시",1046819000,1034935000,2029,781415000,383,252334000,0,1186000,0,0,0,11884000,564000,1114000,0,0,459000,1114000,105000,0,10770000,1352000,9418000,0,195554800,683232000,0,156148200
"2022","부산광역시",1060129000,947904000,7355,849414000,5256,50790000,0,47700000,0,0,0,112225000,4051000,1725000,0,0,0,0,4051000,1725000,110500000,2500000,1.08e+08,0,772046200,62350800,0,113507000
"2022","부산광역시",1107423000,1089144000,5186,971731000,116,117413000,0,0,0,0,0,18279000,382000,989000,0,0,292000,944000,90000,45000,17290000,5e+06,12290000,0,275698550,234066450,0,579379000
"2022","부산광역시",1416395000,1405345000,23221,1281113000,202,120894000,0,3338000,0,0,0,11050000,4438000,4432000,0,0,2066000,2796000,2372000,1636000,6618000,4200000,2418000,0,677920570,524323430,0,203101000
"2022","부산광역시",1922476000,1898813000,2335,1718091000,109,166526000,0,14196000,0,0,0,23663000,215000,122000,0,0,188000,109000,27000,13000,23541000,1500000,22041000,0,788519600,318317400,0,791976000
"2022","부산광역시",19365000,7897000,0,0,5096,0,0,7897000,0,0,0,11468000,0,0,0,0,0,0,0,0,11468000,6e+05,10868000,0,7897000,0,0,0
"2022","부산광역시",457160000,368782000,1174,330186000,49,24256000,0,14340000,0,0,0,88378000,816000,314000,0,0,691000,314000,125000,0,88064000,21908000,66156000,0,114034300,69878700,0,184869000
"2022","부산광역시",582260000,570223000,3918,486230000,98,83993000,0,0,0,0,0,12037000,468000,419000,0,0,333000,258000,135000,161000,11618000,6200000,5418000,0,198521950,159713050,0,211988000
"2022","부산광역시",593516000,529654000,1808,478088000,1659,51566000,0,0,0,0,0,63862000,413000,402000,0,0,0,0,413000,402000,63460000,6500000,56960000,0,311706900,217947100,0,0
"2022","부산광역시",796426000,763841000,4296,713311000,155,49809000,0,721000,0,0,0,32585000,1222000,755000,0,0,1142000,745000,80000,10000,31830000,3975000,27855000,0,511894250,246251750,0,5695000
"2022","부산광역시",814686000,798795000,15723,560273000,131,236800000,0,1722000,0,0,0,15891000,1339000,1096000,0,0,1211000,1096000,128000,0,14795000,1332000,13463000,0,83163500,544775500,0,170856000
"2022","부산광역시",834928000,757725000,2573,616835000,156,133290000,0,7600000,0,0,0,77203000,1497000,1819000,0,0,1462000,1806000,35000,13000,75384000,1e+06,74384000,0,182908950,254804050,0,320012000
"2022","부산광역시",835866000,812281000,10688,765556000,241,41616000,0,309000,4800000,0,0,23585000,1162000,3048000,0,560000,1082000,2455000,80000,33000,20537000,2500000,18037000,0,459335550,228662450,0,119483000
"2022","부산광역시",922424000,864908000,3249,749462000,2906,90059000,0,25387000,0,0,0,57516000,2038000,0,0,0,0,0,2038000,0,57516000,1e+06,56516000,0,523664580,333783420,0,7460000
"2022","부산광역시",942643000,885173000,10113,880425000,116,3790000,0,958000,0,0,0,57470000,828000,326000,0,0,780000,270000,48000,56000,57144000,1500000,55644000,0,22517430,112494800,0,750160770
"2022","부산광역시",958154000,862524000,3534,793739000,2406,64177000,0,4608000,0,0,0,95630000,3912000,3490000,0,0,0,0,3912000,3490000,92140000,46070000,46070000,0,674142400,188381600,0,0
"2022","대구광역시",1037404000,986454000,4205,603686000,138,256178000,0,72590000,5.4e+07,0,0,50950000,26529000,28450000,0,0,26529000,28450000,0,0,22500000,6500000,1.6e+07,0,309452150,377481850,0,245520000
"2022","대구광역시",11341000,595000,0,0,200,595000,0,0,0,0,0,10746000,295000,346000,0,0,120000,137000,175000,209000,10400000,5200000,5200000,0,595000,0,0,0
"2022","대구광역시",1163593000,708694000,104906,635094000,153,44099000,0,26021000,0,3480000,0,454899000,691000,99000,0,0,656000,68000,35000,31000,454800000,4800000,4.5e+08,0,271216950,276916050,0,157081000
"2022","대구광역시",1279915000,1238018000,8453,1187245000,138,43834000,0,6939000,0,0,0,41897000,2240000,1597000,0,0,1671000,1003000,569000,594000,40300000,8e+06,32300000,0,1142112900,59650400,0,36254700
