"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10"
"M","C","CB",27,1,2,0,0,21,5
"M","B","EY",30,1,2,0,2,5,4
"F","A","CJ",25,2,1,1,0,1,3
"F","C","EY",17,1,1,2,3,5,4
"M","A","EY",28,0,1,1,2,4,2
"M","A","EY",17,0,2,0,2,5,5
"F","D","AZ",27,1,0,0,2,6,3
"M","A","PO",15,1,4,1,3,1,4
"M","B","CB",19,1,0,1,3,4,5
"F","A","AZ",27,3,1,1,0,7,3
"F","A","CB",17,5,2,1,1,5,5
"F","B","IC",16,1,1,0,6,3,3
"M","B","PO",42,1,1,1,2,16,3
"F","B","CB",34,3,3,0,1,4,3
"F","B","PO",28,0,0,2,3,8,4
"M","D","CB",17,1,1,0,5,11,4
"M","B","PO",15,3,1,4,3,6,5
"F","B","EY",20,1,0,2,2,4,5
"F","A","CB",32,1,1,2,1,12,1
"F","B","PO",33,0,1,0,1,14,4
"F","B","IC",16,2,1,4,3,13,4
"F","D","IC",18,4,2,5,2,7,5
"F","D","AZ",19,3,1,2,6,4,4
"F","A","PO",15,1,0,0,0,4,4
"M","C","AZ",15,2,0,4,1,4,4
"M","A","AZ",21,2,0,2,4,3,3
"M","B","AZ",26,0,0,0,1,10,3
"F","C","IC",41,0,1,1,3,20,4
"M","C","AZ",20,2,1,4,2,8,5
"F","B","ST",18,3,2,1,1,6,5
"F","B","EY",15,1,1,2,6,1,4
"F","B","IC",18,0,2,1,4,2,3
"M","C","CJ",16,1,3,2,2,1,3
"M","D","PO",25,0,3,3,0,27,5
"F","B","CJ",20,0,1,2,3,3,3
"M","C","CJ",16,6,2,2,1,20,5
"F","C","CB",17,1,1,2,2,7,5
"F","A","IC",26,2,0,0,1,0,4
"F","B","PO",31,3,1,5,5,17,5
"M","B","PO",19,1,0,0,5,8,4
"M","B","CB",21,3,2,1,0,6,5
"M","B","ST",20,1,0,2,4,6,5
"F","B","IC",58,2,1,0,0,15,2
"F","B","CJ",16,2,1,4,2,20,5
"M","B","PO",19,1,1,2,1,4,5
"M","B","CB",28,2,0,0,2,11,3
"M","A","IC",18,0,4,2,1,4,4
"F","A","EY",38,0,0,3,7,17,4
"M","A","CJ",20,3,2,1,0,9,5
"M","B","AZ",31,1,0,1,4,20,5
"F","A","EY",30,1,1,2,0,3,2
"M","B","AZ",15,2,0,1,2,4,5
"F","C","CJ",16,5,0,3,1,13,5
"M","B","EY",18,2,2,0,3,1,3
"F","B","EY",49,1,1,1,5,47,4
"F","A","CB",25,3,2,1,0,10,5
"F","A","AZ",35,1,2,2,1,1,3
"F","B","EY",19,1,2,1,3,3,4
"F","A","AZ",23,1,1,0,1,11,3
"F","B","CJ",19,6,2,1,1,4,5
"F","A","AZ",15,2,3,3,6,5,3
"F","B","EY",20,0,0,3,3,7,3
"F","C","AZ",34,1,1,4,2,0,1
"F","D","CB",18,4,3,5,2,5,5
"M","C","IC",18,1,0,4,7,4,3
"F","A","CJ",22,2,0,1,4,14,4
"F","B","CB",19,1,1,1,1,6,3
"F","C","ST",33,1,1,0,0,7,3
"M","B","AZ",21,0,0,4,5,8,5
"F","B","AZ",18,0,0,3,7,7,3
"F","C","PO",17,1,2,2,9,1,3
"F","B","PO",34,1,2,5,2,21,5
"M","A","EY",35,2,1,1,3,14,3
"F","D","AZ",35,0,0,1,4,14,3
"F","B","AZ",27,0,3,1,3,9,4
"F","A","EY",28,0,2,1,1,23,3
"F","A","PO",20,1,0,1,2,4,4
"F","A","PO",15,1,2,2,4,2,4
"M","B","CJ",17,1,1,1,5,3,4
"F","B","AZ",30,2,2,1,1,17,5
"M","B","PO",23,2,0,1,5,10,3
"M","B","PO",16,1,1,6,3,10,5
"F","A","CB",18,0,2,0,6,6,3
"M","A","CB",48,2,3,0,1,9,2
"M","B","CJ",22,0,2,1,3,3,5
"F","B","PO",19,1,1,0,3,7,4
"M","B","CB",22,0,1,0,3,4,3
"M","A","ST",15,2,1,1,3,2,4
"M","A","CB",35,3,1,2,5,15,5
"F","B","PO",35,3,0,0,0,13,5
"F","B","PO",19,0,1,0,3,9,4
"M","C","IC",20,1,1,3,5,1,3
"M","B","ST",27,3,0,9,7,6,5
"F","A","EY",30,1,0,2,5,10,4
"M","B","PO",25,2,1,3,1,27,5
"F","A","CB",26,1,1,2,4,10,4
"F","B","AZ",27,0,0,4,3,12,5
"M","B","EY",26,2,2,1,5,1,4
"F","A","EY",19,1,0,2,3,5,4
"F","A","IC",30,0,0,1,1,3,3
"M","B","ST",32,3,2,1,3,27,5
"F","A","ST",32,1,3,1,2,12,2
"M","B","CB",16,1,1,2,2,4,5
"F","A","CJ",32,2,1,4,1,19,5
"M","C","PO",18,1,3,3,4,5,5
"F","B","PO",22,3,2,0,6,5,3
"F","B","EY",17,0,0,0,2,4,3
"F","A","AZ",31,3,1,1,6,16,3
"M","B","EY",16,3,0,2,5,2,3
"F","B","CB",22,0,1,1,2,5,4
"F","D","ST",29,1,2,0,1,1,3
"M","B","PO",22,3,1,1,1,8,5
"F","B","EY",44,0,1,0,2,17,4
"F","A","PO",19,0,0,2,2,12,5
"M","B","CJ",20,2,1,6,3,4,5
"F","C","CB",37,0,2,1,2,11,4
"F","B","CJ",20,0,0,6,1,10,5
"F","B","AZ",16,1,0,2,1,6,5
"F","B","AZ",42,2,2,3,9,20,3
"M","B","EY",26,2,1,0,0,7,3
"F","B","CB",19,1,1,0,1,4,3
"F","B","EY",15,2,1,0,3,1,3
"M","B","CJ",24,2,1,4,3,5,5
"M","A","AZ",39,1,0,0,1,2,3
"M","D","PO",17,1,1,3,2,25,5
"F","C","EY",46,0,0,2,2,26,5
"F","A","AZ",55,1,1,2,1,24,3
"M","C","PO",18,4,3,1,1,6,5
"M","C","AZ",17,1,2,1,1,4,5
"F","B","PO",22,0,2,1,5,1,3
"M","D","CB",29,0,0,0,3,4,3
"M","B","CJ",17,0,1,0,3,2,3
"M","D","CJ",32,0,1,1,2,11,4
"F","B","IC",28,1,1,1,2,4,3
"F","B","PO",15,1,2,1,3,1,3
"M","A","CB",22,0,2,0,4,4,3
"F","B","CJ",18,3,1,2,2,7,5
"M","C","AZ",17,2,3,1,0,9,5
"F","A","IC",42,0,0,3,1,7,2
"F","C","CB",30,1,1,3,1,5,2
"M","B","AZ",34,0,2,2,5,19,4
"F","A","CB",17,0,1,1,2,6,3
"F","B","CJ",26,0,2,0,3,6,4
"F","C","AZ",16,1,0,1,3,9,3
"F","B","EY",24,0,1,2,7,9,3
"F","A","CB",26,1,0,0,0,1,4
"M","A","AZ",26,0,0,0,1,0,3
"M","B","AZ",25,0,0,2,4,9,3
"M","B","AZ",15,1,1,3,1,4,5
"M","C","IC",26,0,3,3,1,0,1
"M","B","PO",30,3,0,1,3,29,3
"F","B","IC",34,0,0,0,0,11,4
"M","B","CJ",21,4,1,4,1,8,5
"F","B","CB",19,1,2,6,2,6,5
"M","B","CB",53,0,1,0,0,20,3
"F","B","AZ",18,0,0,0,2,11,3
"M","A","IC",42,1,0,1,4,24,3
"F","A","ST",38,3,1,1,1,10,4
"M","A","CB",30,1,0,1,1,23,3
"F","B","AZ",17,1,0,0,0,5,4
"F","B","EY",16,0,3,1,4,3,3
"F","A","PO",22,2,1,1,4,8,4
"F","D","EY",34,3,3,2,3,4,4
"F","A","CB",21,0,1,0,3,3,3
"F","B","AZ",22,0,2,2,2,11,4
"F","C","IC",40,0,0,1,1,10,5
"F","C","CB",31,1,1,1,0,1,3
"F","A","PO",35,0,1,2,3,9,4
"F","B","PO",25,1,1,1,4,5,4
"F","D","ST",20,0,1,0,4,1,3
"F","A","IC",30,0,0,0,1,4,2
"F","A","AZ",31,2,2,0,0,6,3
"M","C","EY",16,2,1,4,3,4,5
"F","C","ST",18,3,2,1,3,3,4
"M","B","CJ",19,0,0,2,3,6,4
"F","C","AZ",17,0,0,2,7,10,3
"M","C","PO",31,1,2,1,2,1,2
"F","B","PO",39,0,0,3,5,21,4
"M","D","EY",19,2,0,0,1,2,3
"F","B","PO",16,0,2,1,5,5,3
"M","A","AZ",32,2,1,7,2,26,5
"M","B","EY",23,1,1,1,1,5,3
"F","A","AZ",24,0,0,1,1,3,3
"M","B","CB",16,0,0,1,2,2,3
"F","C","PO",15,1,2,0,2,8,4
"F","A","IC",30,0,1,0,1,1,2
"M","C","PO",15,1,0,3,1,17,5
"M","A","IC",19,5,1,3,1,7,5
"F","A","AZ",32,2,2,0,1,14,2
"F","B","IC",15,0,2,0,2,3,3
"M","B","PO",16,0,2,1,0,7,5
"F","B","ST",19,0,0,1,3,2,4
"F","A","EY",29,1,0,1,3,9,4
"M","B","CB",24,1,1,4,2,10,5
"F","B","IC",19,0,0,1,4,2,3
"F","A","CJ",42,1,0,2,0,9,3
"M","C","AZ",24,1,0,2,4,8,4
"M","A","CB",23,0,0,1,5,11,3
"F","A","CB",16,1,1,2,2,5,4
"M","B","IC",24,2,0,4,3,10,5
