"Var1","Var2","Var4","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"F","A",38,6,3,"F","B","PO",16,1,0,5,5,5,5
"F","A",16,5,5,"F","B","PO",29,4,1,0,1,11,4
"M","B",24,8,5,"F","A","ST",38,0,0,1,0,12,3
"F","A",28,7,3,"F","B","AZ",38,1,2,1,1,30,5
"F","A",36,3,3,"F","C","IC",31,2,0,2,2,5,3
"F","B",15,1,4,"F","B","AZ",15,1,1,1,3,4,5
"F","B",33,18,3,"M","A","IC",41,1,1,0,3,28,3
"F","B",15,1,4,"M","A","PO",15,1,2,0,1,3,4
"F","A",22,4,3,"M","B","IC",18,0,2,1,2,1,4
"F","B",31,14,3,"M","A","IC",16,1,0,3,6,7,4
"M","A",31,8,3,"M","D","CB",16,1,2,3,1,4,5
"F","D",33,3,3,"F","B","PO",23,2,2,1,5,7,4
"F","C",15,2,4,"M","D","CB",17,1,1,4,3,9,5
"F","B",41,23,3,"F","B","IC",20,1,2,2,2,11,5
"F","C",16,16,5,"M","A","CJ",17,1,2,2,3,2,4
"F","C",16,4,3,"F","B","PO",21,0,2,0,2,3,4
"M","C",36,24,4,"F","C","CJ",19,3,1,0,0,4,3
"F","A",41,9,4,"F","A","AZ",28,1,1,1,1,12,2
"M","C",68,9,5,"M","A","AZ",16,2,2,5,4,9,5
"F","B",16,1,3,"F","C","CB",28,0,2,3,1,6,5
"F","B",15,5,3,"F","D","ST",33,1,1,2,0,3,4
"M","A",70,23,4,"F","B","CB",26,1,1,0,0,2,2
"M","A",23,2,4,"M","A","IC",26,2,5,1,5,12,3
"F","A",16,2,3,"M","B","CB",15,1,1,1,4,2,4
"M","B",19,4,4,"F","B","AZ",16,1,1,3,4,7,3
"F","D",16,2,3,"F","A","AZ",15,4,1,5,3,4,5
"F","C",24,5,5,"M","C","PO",15,2,1,0,1,4,3
"F","A",28,2,5,"M","B","AZ",20,3,1,5,3,7,5
"F","A",25,1,3,"F","A","IC",37,0,3,0,2,6,3
"F","B",30,14,5,"F","A","AZ",38,1,2,0,0,8,1
"M","B",37,9,3,"F","C","PO",21,0,0,4,1,12,5
"F","A",34,4,3,"F","B","AZ",18,1,3,1,3,3,3
"F","B",20,1,3,"F","C","AZ",27,3,2,2,2,4,4
"F","D",23,15,4,"F","B","EY",25,3,1,1,2,3,4
"F","D",30,2,3,"M","C","EY",37,1,1,1,1,12,3
"F","B",22,16,4,"M","C","CB",37,2,0,0,3,28,3
"M","B",15,3,3,"F","A","AZ",16,1,2,3,7,6,4
"M","B",15,1,3,"M","B","IC",19,0,0,2,4,8,4
"F","B",33,18,4,"M","D","AZ",30,1,0,1,2,15,4
"M","B",18,11,5,"F","D","ST",32,4,1,1,3,1,3
"M","A",27,3,1,"F","B","PO",18,1,0,1,1,7,4
"M","A",22,12,4,"M","A","AZ",43,0,1,1,1,4,2
"M","C",37,14,3,"F","D","AZ",15,0,0,0,1,2,4
"F","B",24,6,4,"F","A","CB",24,1,1,1,6,8,4
"F","A",31,7,3,"F","A","PO",33,2,2,0,1,11,3
"F","A",24,5,4,"F","C","AZ",18,2,1,1,1,5,5
"F","C",16,9,5,"F","A","IC",37,1,1,2,0,2,2
"M","A",19,5,4,"F","A","IC",31,2,1,2,0,9,3
"F","B",22,6,4,"M","A","CJ",37,0,0,1,0,8,2
"M","B",15,11,5,"F","A","CJ",32,0,0,1,5,7,4
"F","C",16,5,5,"F","B","CJ",27,0,1,1,2,12,3
"M","B",28,29,3,"F","A","AZ",30,2,0,0,4,1,3
"F","A",17,4,3,"F","D","AZ",24,2,2,2,2,20,5
"F","C",18,5,3,"M","B","AZ",16,1,0,0,2,2,3
"M","B",16,1,3,"F","A","EY",28,2,2,4,0,7,2
"F","D",15,1,3,"F","A","IC",33,0,0,3,3,4,3
"F","A",22,4,3,"M","B","CB",18,5,0,3,2,5,5
"M","C",33,12,5,"M","B","CB",18,2,1,2,3,4,5
"M","B",18,6,5,"F","B","PO",32,0,1,1,1,2,4
"M","B",27,2,3,"F","A","AZ",16,2,0,1,3,3,4
"F","A",36,4,1,"F","B","PO",18,2,2,0,3,1,3
"M","D",37,32,4,"M","A","CJ",16,1,1,5,2,15,5
"F","B",29,7,4,"F","A","AZ",27,0,1,2,0,8,5
"M","B",17,4,4,"F","B","IC",16,0,0,0,2,4,3
"F","A",32,8,2,"F","B","ST",23,1,1,3,8,5,4
"F","B",15,2,4,"F","C","EY",18,0,1,1,3,6,4
"F","B",38,13,3,"F","B","EY",27,2,0,1,4,12,3
"F","B",25,13,3,"F","A","EY",41,1,2,2,2,14,2
"F","D",25,25,3,"F","B","ST",33,1,1,2,6,18,3
"M","B",47,6,5,"M","A","ST",38,1,1,0,0,3,3
"F","A",30,12,4,"M","B","CJ",20,0,0,6,7,3,3
"F","B",15,8,5,"F","B","EY",18,2,0,2,2,6,3
"F","A",38,5,4,"M","B","ST",28,0,0,0,4,9,4
"F","C",29,39,5,"F","B","AZ",20,2,0,2,2,7,5
"F","A",25,12,3,"M","B","EY",35,0,1,2,5,14,3
"F","A",29,12,3,"F","A","CJ",16,1,0,2,2,7,4
"F","A",16,10,5,"M","C","EY",29,0,0,2,3,7,2
"F","C",19,5,3,"M","A","ST",32,0,0,0,0,1,3
"F","D",32,6,2,"F","B","PO",15,1,0,7,4,12,5
"F","B",18,3,4,"F","A","EY",15,2,2,2,3,3,4
"F","A",15,2,4,"F","B","CJ",18,0,0,2,6,14,4
"M","A",20,14,5,"F","D","CB",18,0,0,2,3,6,5
"M","C",17,6,5,"M","C","PO",48,0,1,4,1,20,5
"F","A",25,9,5,"M","B","CJ",15,0,2,3,1,8,5
"F","D",41,28,5,"F","B","EY",15,3,1,0,0,3,3
"M","A",21,12,4,"F","A","CB",20,1,2,1,3,5,4
"F","B",21,11,4,"F","B","ST",15,0,0,1,4,2,4
"F","C",37,25,4,"M","A","EY",31,2,1,1,5,3,3
"F","D",17,1,4,"M","B","PO",21,1,2,2,2,1,3
"M","B",28,9,3,"M","A","PO",17,1,1,1,2,6,3
"F","B",19,7,5,"F","C","CJ",47,1,2,0,1,6,3
"F","B",25,9,4,"M","C","PO",24,3,0,2,0,12,5
"F","D",30,1,3,"F","A","ST",26,0,1,3,1,1,2
"F","B",20,8,4,"M","B","AZ",24,3,0,4,4,5,5
"F","B",18,33,5,"F","B","EY",19,1,2,3,4,18,3
"F","B",16,3,4,"M","B","CB",15,0,0,0,5,1,4
"F","B",21,2,3,"F","C","IC",20,1,2,1,4,9,3
"M","B",19,6,5,"F","A","AZ",28,0,0,1,0,2,1
"M","A",26,2,4,"M","D","CJ",17,3,1,0,0,5,5
"M","B",23,11,3,"M","B","AZ",17,1,1,4,3,9,5
"F","C",15,9,5,"F","B","EY",25,0,1,2,4,14,3
"M","B",20,2,3,"F","C","CB",25,1,0,2,5,14,3
"F","C",27,4,4,"F","B","AZ",27,0,0,3,3,16,5
"M","A",15,7,5,"M","B","AZ",21,2,0,1,3,4,4
"F","A",20,3,3,"F","B","PO",26,5,1,0,0,11,5
"F","D",16,2,3,"F","C","AZ",16,0,0,2,6,6,4
"F","B",15,10,5,"M","B","ST",36,1,0,3,2,19,5
"M","A",17,1,4,"M","C","PO",18,3,2,1,1,7,5
"F","B",41,8,5,"F","C","CB",29,1,0,6,1,19,6
"F","B",27,7,4,"M","A","EY",38,0,1,0,3,17,3
"M","C",16,9,5,"F","A","PO",47,2,1,2,0,3,4
"M","A",27,11,4,"M","C","EY",23,1,1,3,2,7,5
"F","C",18,5,5,"F","B","AZ",27,4,1,1,1,20,5
"F","A",24,9,3,"M","C","PO",21,4,0,3,2,5,5
"F","B",25,1,3,"F","B","AZ",18,4,1,2,1,5,5
"M","C",18,9,5,"M","B","PO",18,5,1,3,3,10,5
"M","C",32,16,4,"M","B","CJ",35,2,1,0,2,19,4
"F","C",16,8,3,"F","A","EY",49,1,3,1,2,12,3
"M","A",25,7,4,"M","A","AZ",16,2,2,0,6,8,4
"M","A",30,22,4,"F","A","PO",28,0,1,1,0,1,3
"F","A",25,6,4,"M","D","EY",24,6,1,3,4,4,5
"F","C",20,7,5,"F","C","AZ",19,0,1,2,5,7,4
"M","B",47,29,4,"F","C","CJ",19,0,0,1,2,10,3
"F","B",23,4,5,"F","A","EY",29,0,0,1,0,1,5
"M","C",15,2,3,"F","A","CB",31,1,1,0,1,1,3
"F","C",17,14,5,"M","B","PO",28,0,1,6,5,51,5
"M","D",18,3,3,"F","A","EY",32,3,1,1,1,3,3
"F","A",30,5,3,"F","A","CB",16,1,1,0,2,1,3
"F","C",20,1,4,"F","B","AZ",39,0,2,0,1,18,4
"F","B",19,1,4,"F","A","PO",33,0,1,2,1,5,3
"M","A",24,5,5,"F","A","PO",15,1,1,0,1,1,3
"F","A",21,9,3,"M","A","IC",19,1,0,0,2,19,3
"M","A",25,16,5,"F","B","AZ",25,3,2,2,0,10,5
"M","C",21,8,5,"F","B","EY",16,1,1,0,0,3,3
"M","C",22,7,5,"M","B","AZ",31,1,0,3,6,12,4
"M","C",19,9,5,"F","A","EY",24,0,0,0,1,14,3
"M","C",18,4,4,"F","C","IC",15,0,0,0,4,1,4
"F","B",36,10,5,"F","B","IC",28,0,0,0,2,6,4
"M","C",18,2,3,"F","B","CB",15,3,1,4,1,32,5
"F","A",28,15,3,"F","A","IC",16,0,1,0,2,7,4
"M","A",44,10,2,"F","C","ST",20,1,0,1,7,5,4
"F","C",22,8,4,"F","B","PO",20,0,2,0,4,17,4
"M","B",46,20,4,"F","B","IC",50,1,0,1,3,34,4
"M","B",18,1,4,"F","C","ST",15,1,0,1,0,19,5
"F","B",19,2,3,"M","A","PO",17,1,2,3,2,5,5
"F","B",18,4,5,"M","A","AZ",16,2,0,4,4,7,5
"M","D",28,1,4,"F","B","CB",42,0,3,3,6,21,3
"F","B",19,7,5,"M","B","CJ",37,2,1,3,3,15,4
"F","B",30,12,4,"F","A","AZ",25,0,0,2,0,8,4
"F","A",46,8,2,"F","B","AZ",30,3,1,0,1,16,3
"F","C",37,6,3,"M","C","ST",25,5,0,0,0,7,5
"F","B",15,5,4,"M","C","PO",22,6,1,7,6,4,5
"F","A",28,1,4,"F","B","IC",25,1,1,1,2,8,3
"F","A",28,4,3,"F","A","PO",43,1,3,1,2,21,3
"M","B",31,30,5,"F","A","AZ",42,2,1,2,0,17,3
"F","D",30,29,3,"F","C","AZ",26,1,0,1,0,2,3
"F","C",17,10,5,"F","B","PO",18,4,1,3,2,11,5
"M","D",18,7,5,"M","B","ST",33,1,3,0,3,33,3
"F","B",16,4,4,"M","B","CJ",16,1,0,4,4,10,5
"F","B",18,4,5,"F","D","PO",16,2,0,2,0,4,5
"M","D",30,16,5,"F","C","AZ",30,4,2,4,4,19,5
"F","B",18,7,4,"M","B","AZ",16,2,0,3,1,4,6
"F","B",17,5,4,"F","C","PO",16,0,0,0,3,3,3
"F","B",32,16,4,"F","A","ST",20,1,1,2,1,1,3
"M","A",21,13,5,"F","A","AZ",17,1,0,1,4,1,5
"F","B",21,26,4,"M","B","AZ",28,0,2,3,7,10,3
"F","B",18,6,3,"F","B","CB",26,2,0,1,1,10,3
"M","A",19,7,4,"F","B","CJ",41,4,1,2,3,13,5
"F","C",44,21,3,"M","A","AZ",16,1,4,1,3,6,4
"F","C",28,9,4,"F","A","CJ",36,0,0,0,0,18,3
"M","C",28,3,3,"F","B","PO",30,0,0,0,1,3,4
"F","A",18,5,3,"F","A","PO",17,0,2,1,5,1,4
"M","A",34,16,5,"M","A","EY",26,0,0,0,3,1,3
"F","A",26,2,2,"F","C","AZ",31,1,2,2,2,6,1
"M","A",27,1,4,"F","A","PO",16,3,2,2,0,7,5
"M","A",17,4,3,"F","B","ST",32,2,1,0,0,7,3
"F","A",25,1,4,"F","B","ST",22,2,1,0,1,1,3
"F","A",22,5,4,"F","B","EY",15,0,3,0,1,1,4
"F","B",18,10,3,"M","A","PO",16,1,4,2,4,2,3
"M","B",28,13,4,"F","B","CJ",20,2,2,3,1,26,5
"M","B",21,8,4,"F","B","ST",35,1,1,1,4,25,4
"F","B",21,6,4,"F","C","AZ",27,0,1,2,1,8,2
"M","C",25,2,5,"F","A","PO",17,0,0,0,0,2,4
"M","B",16,3,3,"F","C","ST",30,4,1,0,0,5,2
"M","B",23,2,3,"F","D","ST",22,2,0,4,1,4,5
"F","A",27,1,3,"F","C","PO",20,4,1,2,1,11,5
"F","A",26,8,3,"F","A","CB",16,4,0,6,4,7,5
"F","B",22,4,3,"F","A","IC",21,1,1,1,3,8,3
"F","B",23,21,3,"M","A","PO",19,1,0,0,1,8,5
"M","A",26,4,5,"M","B","PO",25,3,0,2,0,8,5
"M","B",20,10,3,"M","B","CJ",20,1,0,1,4,7,3
"F","A",45,16,2,"F","A","AZ",25,1,0,1,1,3,2
"F","A",25,5,3,"F","C","PO",15,0,2,3,3,4,5
"M","B",16,7,3,"F","B","CJ",17,1,1,1,3,2,4
"M","A",16,5,5,"F","B","AZ",21,2,1,2,5,2,3
"M","A",15,6,5,"F","B","AZ",20,4,1,4,0,12,5
"F","D",29,1,2,"F","A","ST",28,2,0,2,2,6,3
"F","C",32,13,4,"M","A","CB",44,3,2,0,5,21,4
"F","A",33,4,2,"M","A","PO",20,3,0,0,2,9,3
"F","A",28,12,1,"M","D","CB",17,2,2,2,3,6,5
"M","B",24,5,3,"F","D","PO",20,2,1,4,4,6,5
"F","B",21,5,3,"M","B","AZ",17,2,1,2,1,4,5
"F","C",16,1,3,"F","B","IC",20,2,2,1,5,1,3
"F","C",16,4,4,"M","C","PO",26,2,3,1,0,19,5
"M","C",35,1,2,"M","D","PO",15,1,0,1,4,1,4
"M","C",28,7,4,"F","B","EY",23,3,0,1,4,2,4
"F","B",25,9,5,"F","C","PO",19,0,2,2,1,5,5
"F","A",27,12,3,"F","C","CB",15,2,0,1,1,39,5
"F","C",17,5,4,"M","A","EY",25,0,1,2,1,3,3
"F","B",22,3,4,"F","A","EY",40,2,0,2,1,4,3
"M","A",33,14,5,"M","C","AZ",17,0,0,2,4,4,3
"M","B",26,20,3,"F","C","PO",15,2,2,2,2,9,5
"F","A",26,7,4,"M","A","PO",22,1,1,0,3,19,3
"F","B",17,3,3,"F","A","IC",35,0,0,3,1,5,3
"F","A",25,1,2,"M","B","EY",19,0,1,1,4,5,3
"F","C",34,5,3,"F","A","PO",29,2,1,0,2,9,3
"F","B",20,6,3,"M","D","CB",32,1,0,2,0,8,5
"M","B",16,14,5,"M","A","PO",17,2,1,0,0,1,3
"F","A",28,9,3,"F","C","AZ",20,2,1,2,1,9,5
"F","C",25,1,3,"F","A","ST",20,3,1,1,0,9,5
"M","C",27,13,2,"M","B","PO",28,1,1,1,3,5,3
"M","B",20,4,5,"F","B","EY",21,2,0,1,3,9,3
"F","B",18,8,5,"F","B","CB",31,1,2,1,0,5,3
"M","B",20,6,3,"M","A","PO",32,3,2,4,0,24,5
"F","A",15,4,4,"M","A","PO",26,1,2,2,0,4,4
"F","B",16,6,3,"M","C","PO",17,1,0,5,3,8,4
"F","C",15,5,5,"M","A","EY",26,0,1,1,2,1,2
"F","A",17,3,3,"M","B","AZ",34,0,1,0,2,8,3
"F","B",16,2,5,"M","B","IC",29,2,1,3,1,13,5
"M","A",32,10,3,"F","B","CJ",21,1,1,0,1,4,3
"F","C",17,2,4,"M","B","EY",25,1,0,2,3,9,3
"F","B",30,7,5,"M","A","CB",35,2,1,0,0,5,2
"F","B",19,4,3,"F","D","PO",15,0,1,2,3,5,5
"M","A",19,11,4,"F","A","EY",29,2,0,2,0,13,3
"M","D",27,8,5,"M","C","PO",20,2,0,0,0,5,5
"M","D",27,9,3,"F","B","PO",21,0,2,2,6,17,3
"M","C",25,6,4,"F","A","PO",30,0,1,0,1,2,2
"F","B",47,3,3,"F","B","EY",31,1,1,1,2,11,3
"M","D",16,6,5,"F","B","AZ",21,0,1,2,4,4,3
"M","C",26,2,3,"F","A","CJ",30,0,1,3,0,13,2
"M","B",15,25,5,"M","C","EY",18,1,1,2,3,1,4
"M","C",19,19,5,"F","A","CJ",28,2,0,1,1,9,3
"F","B",32,14,4,"F","A","CJ",25,1,3,0,1,7,2
"F","C",32,0,2,"F","A","AZ",32,0,1,5,3,18,5
"F","B",15,6,5,"F","B","EY",22,1,1,1,4,2,3
"F","A",32,6,3,"F","A","AZ",26,2,1,0,1,11,4
"F","A",43,9,3,"M","B","EY",24,0,1,2,5,8,3
"F","B",17,5,4,"M","B","PO",18,3,1,2,2,6,5
"M","C",33,3,2,"F","A","ST",31,2,0,1,0,3,3
"M","A",18,6,4,"M","B","PO",18,1,1,0,2,2,3
"F","A",18,3,5,"F","B","EY",18,2,1,0,2,5,3
"F","B",21,1,3,"F","A","PO",19,0,2,2,4,1,3
"M","A",16,2,3,"F","B","PO",15,3,2,2,1,4,5
"F","D",15,6,5,"F","B","AZ",59,0,2,2,2,23,4
