"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"F","A","PO",38,0,3,1,2,6,3,"F","B","PO",16,1,0,5,5,5,5
"F","A","PO",16,4,1,1,2,5,5,"F","B","PO",29,4,1,0,1,11,4
"M","B","PO",24,6,2,4,5,8,5,"F","A","ST",38,0,0,1,0,12,3
"F","A","ST",28,3,1,2,3,7,3,"F","B","AZ",38,1,2,1,1,30,5
"F","A","IC",36,1,2,0,3,3,3,"F","C","IC",31,2,0,2,2,5,3
"F","B","PO",15,1,0,0,2,1,4,"F","B","AZ",15,1,1,1,3,4,5
"F","B","CJ",33,1,3,2,3,18,3,"M","A","IC",41,1,1,0,3,28,3
"F","B","IC",15,2,0,0,2,1,4,"M","A","PO",15,1,2,0,1,3,4
"F","A","EY",22,0,0,0,2,4,3,"M","B","IC",18,0,2,1,2,1,4
"F","B","CB",31,1,0,1,5,14,3,"M","A","IC",16,1,0,3,6,7,4
"M","A","PO",31,0,1,1,4,8,3,"M","D","CB",16,1,2,3,1,4,5
"F","D","AZ",33,1,0,0,1,3,3,"F","B","PO",23,2,2,1,5,7,4
"F","C","CB",15,0,0,0,3,2,4,"M","D","CB",17,1,1,4,3,9,5
"F","B","PO",41,0,1,1,1,23,3,"F","B","IC",20,1,2,2,2,11,5
"F","C","AZ",16,2,0,4,3,16,5,"M","A","CJ",17,1,2,2,3,2,4
"F","C","PO",16,0,0,0,2,4,3,"F","B","PO",21,0,2,0,2,3,4
"M","C","AZ",36,2,1,1,1,24,4,"F","C","CJ",19,3,1,0,0,4,3
"F","A","AZ",41,0,1,0,2,9,4,"F","A","AZ",28,1,1,1,1,12,2
"M","C","PO",68,1,0,1,3,9,5,"M","A","AZ",16,2,2,5,4,9,5
"F","B","EY",16,1,0,1,4,1,3,"F","C","CB",28,0,2,3,1,6,5
"F","B","IC",15,1,1,0,2,5,3,"F","D","ST",33,1,1,2,0,3,4
"M","A","CJ",70,1,2,0,1,23,4,"F","B","CB",26,1,1,0,0,2,2
