"Var1","Var2","Var4","Var9","Var10"
"F","A",27,4,5
"F","C",26,16,5
"M","A",31,3,4
"F","A",15,2,3
"M","A",24,15,5
"M","B",16,5,5
"F","B",28,11,4
"F","B",18,4,4
"F","A",21,9,3
"M","C",26,4,4
"F","B",18,11,3
"M","A",17,1,4
"M","B",40,11,3
"F","D",24,4,3
"F","B",26,8,3
"M","B",23,6,3
"F","A",44,19,3
"F","A",29,1,3
"M","C",23,10,5
"F","B",16,2,3
"M","D",41,13,5
"F","B",63,3,3
"M","B",19,5,3
"M","D",33,1,3
"M","B",23,5,5
"M","A",18,1,3
"F","B",19,6,3
"M","A",36,6,2
"M","C",41,8,6
"F","C",16,2,3
"M","D",62,29,4
"M","B",16,8,5
"M","A",32,25,5
"F","C",20,5,5
"F","B",15,2,3
"F","B",33,23,3
"F","B",18,4,5
"M","C",18,5,5
"F","B",18,6,5
"F","B",21,2,4
"F","C",23,8,5
"F","C",24,7,3
"M","D",34,13,4
"M","C",18,17,5
"F","C",17,33,4
"F","B",33,17,4
"M","A",24,4,4
"M","A",16,8,4
"M","B",18,4,5
"F","B",16,1,3
"M","C",16,2,4
"F","A",33,10,3
"F","A",26,2,4
"F","A",44,16,3
"F","A",27,14,3
"F","B",15,4,4
"M","B",24,13,3
"F","A",27,7,5
"F","B",32,16,4
"F","A",15,6,4
"F","C",16,4,4
"F","B",15,9,5
"F","C",26,1,3
"M","A",35,6,5
"F","A",30,18,3
"M","A",19,17,5
"M","A",22,18,5
"F","D",18,4,4
"F","B",22,6,5
"M","B",15,4,5
"F","A",39,20,3
"M","B",45,10,4
"M","C",30,10,5
"F","B",30,8,5
"F","A",25,3,2
"F","B",43,5,3
"M","B",20,3,3
"M","B",23,5,3
"M","C",29,30,5
"M","B",26,11,5
"M","C",22,3,4
"F","A",57,30,4
"F","B",15,5,4
"F","C",30,2,2
"F","C",45,3,3
"F","B",36,26,3
"F","D",15,4,5
"M","A",19,1,4
"F","B",20,9,5
"F","C",41,14,3
"F","C",25,14,3
"F","C",25,4,4
"F","A",31,16,3
"F","B",21,15,5
"M","A",22,6,4
"F","B",26,11,3
"F","B",15,11,4
"M","C",16,2,3
"F","B",15,6,4
"F","A",26,5,4
"M","C",15,5,5
"F","D",27,6,4
"F","A",29,10,5
"F","A",22,3,3
"F","B",42,24,3
"F","B",20,5,3
"F","A",16,4,5
"F","D",38,13,3
"F","A",32,2,2
"F","B",36,13,3
"M","A",33,4,3
"M","A",30,6,5
"M","A",27,10,3
"M","B",22,5,4
"F","B",16,16,4
"M","A",27,8,3
"F","B",15,5,3
"M","C",17,15,5
"M","B",31,3,3
"F","D",28,2,3
"M","B",20,6,3
