"조사연도","행정구역시도코드","농가자산","고정자산","토지면적","토지평가금액","건물면적","건물평가금액","구축물금액","기계기구비품금액","대동물금액","대식물금액","무형자산","유동자산","재고자산연초금액","재고자산연말금액","소동물연초금액","소동물연말금액","농축산물연초금액","농축산물연말금액","농업생산자재연초금액","농업생산자재연말금액","당좌자산","현금","예금등금융자산","미수금선급금액","농업용금액","가계용금액","겸업용금액","기타금액"
"2022","경상북도",930362000,865108000,10798,465132000,2749,374091000,0,16889000,0,8996000,0,65254000,579000,3754000,0,0,555000,3730000,24000,24000,61500000,5e+05,6.1e+07,0,554797750,227769250,0,73545000
"2022","경상남도",1504915000,1391470000,5329,740851000,2466,198987000,0,41367000,410265000,0,0,113445000,2755000,14605000,0,0,49000,133000,2706000,14472000,98840000,3350000,95490000,0,919805000,61400000,0,0
"2022","경상북도",278548000,204661000,12855,65872000,196,64147000,0,36707000,0,37935000,0,73887000,24680000,21827000,0,0,24270000,21767000,410000,60000,52060000,3e+06,49060000,0,110459950,56266050,0,0
"2022","강원도",170112000,118142000,1758,108827000,238,7377000,1938000,0,0,0,0,51970000,1238000,1164000,45000,75000,728000,713000,465000,376000,50806000,3e+06,47806000,0,65033800,39562200,0,13546000
"2022","경기도",1513370000,1426124000,3170,1195724000,113,230400000,0,0,0,0,0,87246000,291000,446000,0,0,291000,446000,0,0,86800000,1e+06,85800000,0,919277000,228096000,0,278751000
"2022","제주특별자치도",880771000,811771000,4232,440100000,3171,191033000,26400000,19243000,0,4995000,1.3e+08,6.9e+07,0,0,0,0,0,0,0,0,6.9e+07,1.5e+07,5.4e+07,0,411083800,267507500,128184700,0
"2022","전라남도",227855000,199974000,9181,184803000,125,10425000,0,2329000,0,2417000,0,27881000,2640000,969000,0,0,2640000,912000,0,57000,26912000,1500000,25412000,0,110066150,29890850,0,57600000
"2022","충청남도",202376000,178538000,8922,148418000,3859,28570000,0,1550000,0,0,0,23838000,450000,1244000,0,0,67000,359000,383000,885000,22594000,1534000,21060000,0,165434360,13103640,0,0
"2022","충청남도",398117000,375912000,17472,358064000,344,16705000,0,1143000,0,0,0,22205000,4977000,4005000,0,0,4949000,3991000,28000,14000,18200000,5e+06,13200000,0,354167100,21744900,0,0
"2022","충청남도",426515000,281853000,9785,185938000,433,95915000,0,0,0,0,0,144662000,18591000,6882000,0,0,16094000,5330000,2497000,1552000,137780000,1.9e+07,118780000,0,229611250,52241750,0,0
"2022","충청북도",905192000,895419000,6815,890902000,51,3650000,0,867000,0,0,0,9773000,945000,3873000,0,0,941000,3873000,4000,0,5900000,1500000,4400000,0,277217000,320000,0,617882000
"2022","강원도",535306000,427082000,12705,371664000,249,18273000,0,22645000,14500000,0,0,108224000,1971000,7956000,170000,189000,1322000,6282000,479000,1485000,100268000,41629000,58639000,0,379301820,25403180,0,7877000
"2022","경상남도",4011748000,3196932000,10541,980767000,5441,858396000,0,22159000,327610000,0,1.008e+09,814816000,6521000,7111000,0,0,0,0,6521000,7111000,807705000,2800000,804905000,0,2711914800,157407200,0,0
"2022","전라북도",457301000,362098000,3842,245120000,159,71934000,0,20617000,0,24427000,0,95203000,4000,3000,0,0,0,0,4000,3000,95200000,2e+06,93200000,0,251390000,86281000,0,0
"2022","경상남도",750959000,676135000,9653,220394000,732,188976000,0,82735000,184030000,0,0,74824000,6364000,3843000,0,0,2422000,1543000,3942000,2300000,70981000,9e+06,61981000,0,189310500,214006500,0,88788000
"2022","충청북도",747919000,708531000,8479,285379000,22288,341568000,480000,81104000,0,0,0,39388000,585000,252000,0,0,213000,0,372000,252000,39136000,5e+06,34136000,0,404124400,301026400,0,3380200
"2022","충청남도",16663000,2013000,218,523000,0,0,0,1490000,0,0,0,14650000,18000,50000,0,0,18000,50000,0,0,14600000,2500000,12100000,0,1490000,0,0,523000
"2022","충청북도",501438000,484115000,8959,334218000,105,92800000,0,57097000,0,0,0,17323000,73000,1123000,0,0,0,1123000,73000,0,16200000,3200000,1.3e+07,0,173718700,146263300,0,164133000
"2022","경기도",483541000,446007000,9358,341148000,114,97502000,0,3757000,0,3600000,0,37534000,1361000,274000,0,0,1351000,229000,10000,45000,37260000,2800000,34460000,0,91411300,128512700,0,222483000
"2022","충청북도",773803000,719703000,2784,461587000,254,245778000,0,12338000,0,0,0,54100000,0,0,0,0,0,0,0,0,54100000,2100000,5.2e+07,0,480999060,93034740,145669200,0
"2022","전라남도",559264000,143372000,699,30507000,367,66674000,0,45624000,0,567000,0,415892000,62607000,103942000,0,0,62607000,103942000,0,0,311950000,9.7e+07,214950000,0,88692250,54112750,0,0
"2022","충청남도",876863000,843765000,26895,843005000,53,760000,0,0,0,0,0,33098000,4350000,5748000,0,0,4350000,5704000,0,44000,27350000,350000,2.7e+07,0,616373000,75577000,0,151815000
