조사연도,행정구역시도코드,농가자산,고정자산,토지면적,토지평가금액,건물면적,건물평가금액,구축물금액,기계기구비품금액,대동물금액,대식물금액,무형자산,유동자산,재고자산연초금액,재고자산연말금액,소동물연초금액,소동물연말금액,농축산물연초금액,농축산물연말금액,농업생산자재연초금액,농업생산자재연말금액,당좌자산,현금,예금등금융자산,미수금선급금액,농업용금액,가계용금액,겸업용금액,기타금액
2022,경기도,1335834231,867846300,9782,654746395,1650,139876155,0,4521901,103285419,7,0,25197431,252883,761279,0,0,20005,306347,169761,226913,41152708,298235,20162659,0,90998862,185051995,0,110304
2022,전라북도,21038335,142572580,10830,23059931,115,22750912,253,4750308,99667,336,0,52535393,254080,4016670,363,0,1794,7992789,6673,138490,11557242,3406694,13262052,0,97479380,90135666,619737,2393
2022,전라북도,483528409,326494019,17354,118364514,294,6409156,0,18213099,21061,14777276,0,98633821,9879988,9709936,590,0,3321023,9336518,37850,199720,85331104,20181471,67712907,0,252938341,108273784,9,0
2022,전라북도,1083934714,837389999,300,374135398,1136,222031395,0,29238675,12348265,-1,0,127864900,183312,1586067,0,0,8972,3889,189846,1644644,149285591,15542986,153335410,0,108308107,740287489,0,0
2022,경상남도,1500431410,927701865,9084,724898370,8812,90898093,0,52885656,0,0,89,161649734,721627,912150,668,0,11255,21530,169862,266076,145520334,12123164,213659706,0,244919802,356099322,116550308,1029
2022,충청남도,1393009512,992231816,20713,925151965,927,102026236,0,21098007,20492,26,0,125560832,2944073,9120175,0,0,2736181,6242828,847480,10762,87782330,6299858,83447494,0,-2147483648,94758918,0,151794822
2022,경기도,1100818164,942693481,4883,834587031,155,122830597,0,21105387,0,0,0,22845714,1668,32662,0,0,0,12010,377,1,22101603,956978,17117909,0,288760757,189997337,0,0
2022,전라북도,529950364,358785424,15861,172084222,397,26379281,0,22153444,0,0,0,161143870,12151099,12200315,-1,0,7418340,8931978,115489,443381,124234030,29396226,93299967,0,287134902,14316015,0,54498609
2022,충청북도,750794925,854111058,6497,415966685,1188,129737170,0,18449634,11934048,11959753,0,32722916,0,42103,0,0,0,103633,-1,-1,27229564,6261983,19427901,0,360879381,109642672,0,0
2022,충청북도,1347798562,1344251892,16099,808643329,1257,27503806,0,5066586,0,2477,0,94411546,2618806,1558876,10809,99080,1887673,2609466,751506,289696,58790373,5077074,32002129,0,647451997,92986211,0,2448
2022,제주특별자치도,1561435455,1032316226,13236,765233816,12607,61099028,311473,284377,0,22,0,93899648,277069,44300,78644,69491,20411,102182,192529,0,82779777,1928010,45166379,0,506866356,98635102,0,133631185
2022,경상북도,866032285,887217456,31216,605677206,653,98190472,0,5084931,0,201120,0,42453182,9831844,8070888,-1,0,5883862,4662891,98,976,31903041,1789289,55673599,0,1217046031,36667696,0,255710
2022,경기도,-2147483648,-2147483648,10927,-2147483648,291,174728461,0,4869685,0,0,0,94841799,7747874,18619168,2113,103330,6715840,19582695,1123084,1145048,88742288,6289452,100648447,5,355279450,167204818,1,-2147483648
2022,충청남도,143447271,182118287,10543,119306442,72,457105,0,1969785,0,-1,0,21127711,1102511,1024530,41815,42192,998326,109472,29801,15226,16479685,1032138,18897997,0,30040283,307223,0,8882146
2022,제주특별자치도,706832654,889790182,12226,603149282,538,102840233,0,55410941,15761,35540,0,90926701,2666528,8146125,61051,55289,4718248,7302734,243918,45003,80601438,6475484,44033397,389,684465151,107507139,0,149341971
2022,강원도,1513641525,895923503,15786,628552097,1061,125691332,0,7325171,16,24,0,115695035,3532226,1617401,178589,112872,442683,478828,1693609,1990443,100419187,6786755,94906237,1183,387905723,103618854,0,432960577
2022,경상남도,568345862,401701824,4781,370537511,117,120487027,0,30747302,481925,19819,0,94794926,229946,1189311,7193,67406,134366,624814,38920,17651,96988078,6283959,83040993,0,113422807,118311796,943,155354737
2022,강원도,274366840,192503515,3558,109221806,348,26232837,0,19239804,0,-1,0,80118947,261109,1110187,0,0,649172,636872,24118,25471,63994985,1415794,30480471,0,205260254,89256544,32236,5561448
2022,경상남도,536779055,464599094,9103,487844148,1824,-2147483648,0,19433878,0,-1,0,27519100,254207,1703567,0,0,7689,6690,815659,1184748,36518405,2744132,39704772,0,263593706,168654695,0,38
2022,전라남도,331011098,346904347,16678,159122054,3716,71096237,0,57485303,1,33,0,174856103,7729722,8194064,-1,0,1390977,8609590,172699,975,121844410,3951818,195659180,0,233773099,38261414,1057,29333775
2022,충청북도,534627015,361538895,6737,177388372,129,78950339,0,27928483,2395,0,0,60136186,1150750,991685,337,0,5380478,2591297,44918,24361,59914157,23023805,30847644,0,112716820,1081054530,1,0
2022,경상북도,359106511,198865798,8220,132018675,174,13827097,0,-1,0,0,0,98109220,2537087,3707939,0,0,1638561,3042018,40620,11012,100595465,13251974,99045781,0,208179360,76251600,1808,0
2022,전라남도,122227894,127106832,584,20502823,120,15090573,0,1746970,0,0,0,94471191,5290347,1591504,0,0,1972068,512530,433103,361584,82403015,917052,51158449,0,39632304,89651529,0,0
2022,강원도,173892004,2318398,2408,88177833,81,396274,0,478269,0,2755,0,43789412,14332326,12003854,0,0,22789391,8762727,33,33,40166732,4730817,31384804,0,46144427,1810465,1,0
2022,경상북도,548959018,388028915,11471,407987276,279,170314761,0,863,0,78138991,0,13604272,4005,179,0,0,21,0,34,9767,18168535,6764585,26357020,0,215014143,100236279,5410,1716802
2022,경상남도,387801676,283288244,4946,105776056,182,65898199,0,93453186,383,310,0,93480368,171248,38755,0,0,427460,18412,652763,62,79744997,18248125,67802045,0,284315100,96265041,4632266,0
2022,경기도,1089689039,785583942,613,262058200,395,196139810,0,26282450,0,0,0,172904857,137204,221173,-1,0,20136,32421,175241,37159,167190041,5875928,189992769,0,64081005,781550379,0,91152107
2022,경기도,543319777,535437193,5646,401353954,140,81196545,0,-1,13115,26,0,16082706,5542190,5534464,44739,108166,6723539,9348115,151378,26652,12705188,2183830,1549431,0,104503645,767845990,0,2
2022,제주특별자치도,-2147483648,-2147483648,10372,-2147483648,394,56545477,0,45192769,14544,12345288,0,97381503,80916,458787,-1,0,19869,948242,13812,32266,91709584,6953460,84750686,0,811811350,733797889,0,1044081319
2022,전라북도,597779986,456966356,16587,496533744,2907,73815885,55477,15372496,4803683,0,0,191136495,7019799,8387809,0,0,1839199,4019424,37119,1334703,183628953,22023566,189031572,0,301687836,158518728,4973,251008175
2022,강원도,479627146,304581781,4587,144295125,217,205821244,0,24236808,0,2597,0,179312485,12379704,9926009,629,2,16445581,4872157,58279,453975,151578587,1630817,138314266,0,285512446,122737840,1,497
2022,경기도,157366671,176744023,5535,81588437,155,13918841,0,861635,793,-1,0,80046893,8761323,4253249,357,5,13923500,2114045,86171,79863,58918441,2952021,75590931,0,247054153,47978708,0,51391
2022,강원도,1606362356,950468029,12178,657548095,368,250200537,0,2354944,0,3777,0,164395840,1066712,383328,-1,0,745,178,1066889,1745547,127069347,871056,203051683,0,-2147483648,130969076,0,189280
2022,제주특별자치도,1622181675,1108433749,10929,1000816773,162,218630807,0,0,0,60865567,0,20491508,0,1725315,0,0,0,2516273,-1,-1,21784410,6350292,20814204,0,247169541,188474939,1,435648289
2022,충청남도,360569667,297541183,5728,153304932,1581,30758388,78,4200251,0,-1,0,91814281,1313455,378743,569,0,1337306,630431,59367,968,46627309,4682493,27732002,0,252056289,37832628,2009551,86643796
2022,전라남도,1462259933,845308949,31839,700324664,313,60963876,0,31699809,309,37160,0,100357403,7936020,7436365,0,1,3300849,3432760,1090132,55529,87117237,6326578,60624943,107,434946833,110783951,10435792,29209071
2022,충청남도,1980865918,1653478365,44928,1044141996,10338,14620052,0,123987682,0,402,0,259656932,11992030,11839436,12375,171724,7286395,8084982,1955482,4976693,285960573,6447026,267472459,0,474467611,539163,0,111691543
2022,전라북도,-2147483648,-2147483648,14358,-2147483648,9871,44552625,0,7077942,14379030,126099,0,156173496,4726071,2156618,-1,0,717703,3610026,177392,6978,174515372,22769111,156810743,0,-2147483648,108410717,0,112304499
2022,경상북도,301824385,291430682,2005,370212619,128,67076907,0,4877292,0,692,0,47831516,144287,470692,5,0,1641719,339918,35,67366,29150473,14621219,6815242,0,80755459,129735979,8106735,436676749
2022,충청남도,1066782324,836762199,18105,770135266,10369,27378386,0,13979960,0,-1,0,192597203,5500952,5720550,83,0,1841538,3652963,23166,929065,188043184,2004280,205134094,0,1446770416,94115491,0,8546
2022,경상북도,529810664,346560122,6937,301275319,541,73505489,0,1322243,0,2309,0,52877899,775062,1872766,12879,59614,2438781,736844,46015,185573,28058197,6040789,11764098,6,97185863,113750991,0,192616522
2022,전라북도,491964308,311491432,1097,184049734,303,28902440,0,29113798,0,26,0,51608758,8199700,9984363,21,0,5318571,1423949,108580,351556,40159990,23490682,61576051,0,211944135,95483113,0,10521400
2022,전라북도,209180128,137964851,6100,167206814,186,440447,0,4255809,0,-1,0,98473045,25046,171,0,0,29746,2072,35,-1,86879502,6512640,115493499,0,43938351,52132234,0,19044439
2022,충청남도,1440809700,484955154,10661,400497478,452,70040764,0,492793,0,0,0,493283437,703376,920161,6114,200380,2628865,516776,79203,19043,450463446,24549386,436841403,0,169359976,45182768,90587796,2869
2022,경상남도,504760794,363416335,17019,293058941,973,32806253,0,21835682,107276,0,0,128745607,6599003,10851741,349,0,6799432,8036379,120028,573918,107962665,6554711,93022434,0,251148922,91983594,0,717670
2022,경상남도,1101470628,963834578,18422,728928249,9320,48213612,0,6880620,12256657,2394818,0,17548994,7344013,1238343,-1,0,5831916,823105,27523,0,27886437,6703028,12812587,0,397714769,118297782,0,424135655
