"조사연도","행정구역시도코드","농가자산","고정자산","토지면적","토지평가금액","건물면적","건물평가금액","구축물금액","기계기구비품금액","대동물금액","대식물금액","무형자산","유동자산","재고자산연초금액","재고자산연말금액","소동물연초금액","소동물연말금액","농축산물연초금액","농축산물연말금액","농업생산자재연초금액","농업생산자재연말금액","당좌자산","현금","예금등금융자산","미수금선급금액","농업용금액","가계용금액","겸업용금액","기타금액"
"2022","경상북도",219630000,96352000,2248,88173000,66,2720000,2e+05,0,0,0,0,184450000,1924000,0,0,0,1230000,0,7e+05,0,1.85e+08,5e+06,180620000,0,6365750,37418000,0,0
"2022","경기도",306503000,192200000,1035,189961000,160,3335000,0,19059000,360000,0,0,81660000,343000,606000,0,0,177000,461000,175000,80000,81134000,2e+07,47963000,0,41204850,110058000,11227500,0
"2022","제주특별자치도",1311641000,1309089000,11950,1608899000,193,56876000,0,16794000,1e+05,0,1.3e+08,95600000,18000,180000,30000,40000,0,148000,0,22000,95530000,5840000,91520000,0,1368490600,123508200,67977500,237068000
"2022","전라남도",270442000,206500000,3065,105398000,217,58912000,0,63990000,360000,0,0,53778000,2619000,1878000,745000,3e+05,1804000,871000,1e+05,435000,53117000,5e+05,52200000,0,27178130,90357350,1011150,139249820
"2022","충청북도",168911000,135241000,2358,107002000,92,15388000,0,4492000,860000,0,2e+07,11953000,519000,887000,0,0,465000,894000,98000,15000,11700000,2e+06,1e+07,0,63870000,42173650,58877700,0
"2022","경상남도",897250000,805695000,12809,361210000,338,341568000,0,42554000,0,7390000,0,10330000,20000,5213000,0,0,0,5189000,15000,0,7150000,2e+06,5500000,0,520741620,386125250,0,0
"2022","경기도",221357000,162422000,660,92376000,362,32389000,0,16334000,0,0,0,44476000,629000,467000,0,0,583000,470000,0,0,44197000,1500000,42041000,0,86725400,109879800,0,666400
"2022","전라남도",350130000,337029000,8648,283554000,187,20938000,0,1379000,130000,864000,0,134266000,610000,682000,120000,120000,113000,506000,479000,47000,135200000,18800000,118780000,0,26240250,22937400,0,220848180
"2022","충청남도",686266000,615341000,16659,416016000,2630,138467000,0,28112000,3e+05,0,0,291615000,12582000,0,0,0,10036000,0,516000,0,283350000,6e+07,215466000,0,576326000,52631300,9298900,35833000
"2022","경상남도",1667873000,1722370000,6168,676752000,2466,313556000,0,11345000,0,0,0,298538000,984000,885000,0,0,9000,0,7e+05,751000,296446000,7e+06,295490000,0,1730978500,139930000,0,0
"2022","전라북도",262023000,153299000,236,4048000,228,110966000,0,71789000,0,0,0,89854000,1716000,2415000,0,0,1630000,2404000,93000,10000,88045000,3500000,82560000,0,71532600,80387500,9460950,0
"2022","전라남도",230909000,116903000,1247,72127000,106,26573000,0,2800000,0,0,0,136068000,362000,195000,0,0,335000,173000,0,0,132580000,9e+06,127516000,0,5159200,25387300,0,91693000
"2022","경기도",269868000,215290000,1466,47846000,437,124711000,2120000,22768000,0,68066000,0,100597000,3438000,2951000,0,0,2492000,2953000,999000,204000,97062000,5e+06,9.3e+07,0,6951270,96475100,0,49525000
"2022","경상남도",796562000,248663000,2592,57615000,6271,0,0,122841000,0,0,0,63297000,8681000,10515000,0,0,0,8616000,5760000,2215000,55500000,2e+07,28200000,0,150019620,32808400,3410000,0
"2022","강원도",1593067000,1527649000,22960,993527000,860,201098000,0,918000,0,0,0,159957000,0,353000,0,0,0,305000,0,0,159714000,5e+05,158600000,0,999490450,215803700,0,0
"2022","전라남도",258002000,236988000,7585,172139000,85,46433000,0,46007000,1e+05,0,0,18300000,3023000,1878000,0,0,1147000,1061000,1265000,669000,14277000,8650000,6e+06,0,152056550,84324600,0,0
"2022","제주특별자치도",1314424000,1201449000,10972,283723000,8819,591713000,6750000,10699000,8.1e+07,42055000,0,101236000,102000,488000,0,20000,1e+05,393000,0,176000,101556000,3.2e+07,7.8e+07,0,135295700,203913500,0,345804000
"2022","경상남도",337050000,309876000,2420,243514000,98,78955000,0,1399000,2e+05,0,0,18581000,910000,718000,0,0,928000,633000,0,0,18600000,4500000,1.5e+07,0,308068300,175487050,0,0
"2022","전라남도",473211000,420993000,7363,136099000,675,172079000,0,8555000,192430000,0,0,76416000,2540000,3265000,0,0,49000,685000,1632000,2107000,75800000,1800000,74806000,0,76711550,118770500,110403000,0
"2022","제주특별자치도",2271439000,2210128000,11979,1840983000,4264,187470000,0,28527000,1e+05,0,0,113585000,410000,1244000,20000,20000,0,359000,413000,877000,112660000,7650000,102147000,0,821334000,206478000,0,762455000
"2022","전라남도",327190000,301245000,4192,92987000,398,161113000,1363000,13338000,0,0,0,89480000,1173000,2636000,75000,135000,1165000,2108000,31000,0,85080000,3e+06,82352000,0,44316250,118841200,0,184200000
"2022","충청남도",1528307000,1469695000,8664,977044000,1224,322222000,0,6715000,0,0,0,258253000,20887000,6882000,0,0,21045000,6218000,144000,169000,251267000,8500000,2.43e+08,0,26796300,63164600,0,1139511000
"2022","충청남도",358045000,343215000,16623,283330000,3959,22642000,927000,39436000,0,0,0,111518000,47000,82000,0,0,0,25000,46000,116000,110370000,4200000,110250000,0,152662600,37863000,0,100178000
