"조사연도","행정구역시도코드","농가자산","고정자산","토지면적","토지평가금액","건물면적","건물평가금액","구축물금액","기계기구비품금액","대동물금액","대식물금액","무형자산","유동자산","재고자산연초금액","재고자산연말금액","소동물연초금액","소동물연말금액","농축산물연초금액","농축산물연말금액","농업생산자재연초금액","농업생산자재연말금액","당좌자산","현금","예금등금융자산","미수금선급금액","농업용금액","가계용금액","겸업용금액","기타금액"
"2022","부산광역시",1107423000,1089144000,5186,971731000,116,117413000,0,0,0,0,0,18279000,382000,989000,0,0,292000,944000,90000,45000,17290000,5e+06,12290000,0,275698550,234066450,0,579379000
"2022","부산광역시",1922476000,1898813000,2335,1718091000,109,166526000,0,14196000,0,0,0,23663000,215000,122000,0,0,188000,109000,27000,13000,23541000,1500000,22041000,0,788519600,318317400,0,791976000
"2022","부산광역시",19365000,7897000,0,0,5096,0,0,7897000,0,0,0,11468000,0,0,0,0,0,0,0,0,11468000,6e+05,10868000,0,7897000,0,0,0
"2022","부산광역시",457160000,368782000,1174,330186000,49,24256000,0,14340000,0,0,0,88378000,816000,314000,0,0,691000,314000,125000,0,88064000,21908000,66156000,0,114034300,69878700,0,184869000
"2022","부산광역시",814686000,798795000,15723,560273000,131,236800000,0,1722000,0,0,0,15891000,1339000,1096000,0,0,1211000,1096000,128000,0,14795000,1332000,13463000,0,83163500,544775500,0,170856000
"2022","부산광역시",942643000,885173000,10113,880425000,116,3790000,0,958000,0,0,0,57470000,828000,326000,0,0,780000,270000,48000,56000,57144000,1500000,55644000,0,22517430,112494800,0,750160770
"2022","대구광역시",1163593000,708694000,104906,635094000,153,44099000,0,26021000,0,3480000,0,454899000,691000,99000,0,0,656000,68000,35000,31000,454800000,4800000,4.5e+08,0,271216950,276916050,0,157081000
"2022","대구광역시",188187000,159088000,116,94992000,5482,28291000,0,35805000,0,0,0,29099000,979000,639000,240000,240000,12000,27000,727000,372000,28460000,1900000,26560000,0,49208200,109879800,0,0
"2022","대구광역시",1938127000,1718491000,15278,1642756000,149,24381000,6552000,44802000,0,0,0,219636000,3591000,1996000,0,0,3390000,1942000,201000,54000,217640000,6e+07,157640000,0,1398916560,182013440,0,137561000
"2022","대구광역시",360674000,337575000,10276,314496000,92,1325000,468000,21286000,0,0,0,23099000,973000,669000,0,0,905000,666000,68000,3000,22430000,2e+06,20430000,0,25280150,101676850,0,210618000
"2022","대구광역시",414822000,291741000,2111,277880000,93,7624000,0,6237000,0,0,0,123081000,1439000,1881000,0,0,1222000,1769000,217000,112000,121200000,2.5e+07,96200000,0,195228900,96512100,0,0
"2022","대구광역시",519852000,473625000,1488,314181000,291,81640000,0,19484000,58320000,0,0,46227000,887000,727000,0,0,853000,684000,34000,43000,45500000,6e+06,39500000,0,220024250,194453000,827750,0
"2022","대구광역시",536919000,487984000,3699,391774000,60,95310000,0,0,0,9e+05,0,48935000,992000,435000,0,0,992000,435000,0,0,48500000,3500000,4.5e+07,0,394633300,92450700,0,0
"2022","대구광역시",729991000,643685000,4798,640083000,89,391000,0,3211000,0,0,0,86306000,3557000,4806000,0,0,3411000,4726000,146000,80000,81500000,1.1e+07,70500000,0,385970050,75389950,0,182325000
"2022","대구광역시",770566000,763283000,691,288077000,4054,451290000,0,23916000,0,0,0,7283000,1301000,483000,0,0,0,0,1301000,483000,6800000,4500000,2300000,0,144336170,431256830,0,187690000
"2022","대구광역시",792797000,730402000,7175,728582000,0,0,9e+05,920000,0,0,0,62395000,13000,25000,0,0,0,0,13000,25000,62370000,1150000,61220000,0,502617000,828000,0,226957000
"2022","인천광역시",1025927000,999238000,17589,965180000,1210,33050000,0,1008000,0,0,0,26689000,868000,689000,0,0,868000,689000,0,0,2.6e+07,5e+06,2.1e+07,0,872347200,126890800,0,0
"2022","인천광역시",1148321000,1026746000,6311,938509000,1072,86283000,0,1954000,0,0,0,121575000,1138000,1075000,0,0,1053000,870000,85000,205000,120500000,1500000,1.19e+08,0,752825750,225086500,0,48833750
"2022","인천광역시",1156260000,1103658000,20119,1005854000,1404,94429000,0,2535000,840000,0,0,52602000,1741000,1655000,180000,220000,1441000,1363000,120000,72000,50947000,4500000,46447000,0,803740970,291570200,0,7506830
"2022","인천광역시",119640000,104770000,3075,83334000,330,21326000,0,0,110000,0,0,14870000,344000,660000,0,0,210000,554000,134000,106000,14210000,4210000,1e+07,0,48349550,38220950,18089500,0
"2022","인천광역시",1205149000,1169021000,1405,1059453000,1545,81704000,0,27864000,0,0,0,36128000,0,68000,0,0,0,0,0,68000,36060000,6e+06,30060000,0,711931800,457089200,0,0
"2022","인천광역시",165859000,155035000,3091,1.21e+08,231,34035000,0,0,0,0,0,10824000,583000,174000,0,0,583000,174000,0,0,10650000,2110000,8540000,0,85741750,69293250,0,0
"2022","인천광역시",283492000,246772000,2882,240935000,229,4044000,0,1793000,0,0,0,36720000,176000,182000,150000,156000,26000,26000,0,0,36538000,8e+06,28538000,0,5837000,0,0,240935000
"2022","인천광역시",3468235000,3271667000,7427,2894737000,7423,372804000,0,4126000,0,0,0,196568000,1093000,1568000,0,0,0,0,1093000,1568000,1.95e+08,5e+06,1.9e+08,0,1475095000,828575200,5864800,962132000
"2022","인천광역시",413821000,286754000,7050,213615000,0,0,0,73139000,0,0,0,127067000,2.4e+07,23925000,0,0,2.4e+07,23925000,0,0,103142000,5150000,97992000,0,242706600,44047400,0,0
"2022","인천광역시",595482000,573715000,7433,534004000,555,37108000,0,2603000,0,0,0,21767000,1176000,867000,0,0,1176000,663000,0,204000,20900000,5e+06,15900000,0,468690130,97420390,0,7604480
"2022","인천광역시",818365000,774852000,7804,718059000,397,53331000,0,3462000,0,0,0,43513000,12000,13000,0,0,0,0,12000,13000,43500000,3e+06,40500000,0,475733050,299118950,0,0
"2022","인천광역시",837941000,458878000,8789,430712000,317,27906000,0,0,260000,0,0,379063000,934000,518000,0,0,836000,438000,98000,80000,378545000,2645000,375900000,0,296336600,162281400,0,0
"2022","인천광역시",870388000,835683000,4327,824550000,298,10544000,0,589000,0,0,0,34705000,227000,205000,60000,45000,0,0,167000,160000,34500000,2.7e+07,7500000,0,712100810,123582190,0,0
"2022","인천광역시",895044000,846049000,13226,784509000,203,61476000,0,64000,0,0,0,48995000,924000,795000,0,0,924000,795000,0,0,48200000,8e+06,40200000,0,363022900,215999100,0,267027000
"2022","인천광역시",921731000,845285000,19513,744283000,1093,95283000,0,736000,220000,4763000,0,76446000,1931000,2196000,0,0,1834000,2168000,97000,28000,74250000,5720000,68530000,0,512046350,174811700,0,153443950
"2022","인천광역시",926543000,896509000,8540,766189000,524,113265000,0,16855000,2e+05,0,0,30034000,563000,570000,0,0,503000,558000,60000,12000,29464000,6e+06,23464000,0,761940050,85416950,0,48952000
"2022","광주광역시",1118100000,1017251000,5030,994198000,114,23053000,0,0,0,0,0,100849000,407000,802000,0,0,407000,802000,0,0,100047000,5e+06,95047000,0,897219000,106564600,13467400,0
"2022","광주광역시",1198483000,1127624000,4766,999703000,135,105834000,4666000,15861000,1560000,0,0,70859000,109000,1116000,84000,225000,25000,891000,0,0,69743000,1350000,68393000,0,953982500,172081500,0,0
"2022","광주광역시",149629000,75034000,873,58202000,116,16832000,0,0,0,0,0,74595000,353000,195000,0,0,343000,88000,10000,107000,74400000,1e+06,73400000,0,4620250,70413750,0,0
