"조사연도","행정구역시도코드","농가자산","고정자산","토지면적","토지평가금액","건물면적","건물평가금액","구축물금액","기계기구비품금액","대동물금액","대식물금액","무형자산","유동자산","재고자산연초금액","재고자산연말금액","소동물연초금액","소동물연말금액","농축산물연초금액","농축산물연말금액","농업생산자재연초금액","농업생산자재연말금액","당좌자산","현금","예금등금융자산","미수금선급금액","농업용금액","가계용금액","겸업용금액","기타금액"
"2022","경상북도",259531186,99664279,6201,92241622,1955,2325666,0,2529255,53000223,810,0,89511608,72007,0,0,0,15477,0,65590,1464,88646982,2451142,87679072,0,64538142,30774667,0,72808
"2022","경기도",293904700,165656002,772,80326583,803,69798729,0,14328694,48,46,0,89698725,55803,184158,0,0,53321,148087,7944,34059,83608868,5382321,78993411,0,49653113,83829350,0,0
"2022","제주특별자치도",1349555321,1343229167,7653,270094990,5920,1085322768,0,21214228,406800328,0,237761244,29821878,2450025,1459417,0,0,2593800,795222,1700757,4500208,24558423,4960723,20019515,0,192698479,166603757,414103207,179000998
"2022","전라남도",166158315,90125976,2976,55753469,167,23863092,0,3105436,164,2263569,0,53298006,79240,7490,0,0,1660,7630,78946,0,53028243,3275066,50038749,0,68936423,2396997,0,6589449
"2022","충청북도",184623178,114128158,1450,64728379,188,24364577,0,27158217,10000063,0,0,41178145,10728384,29824447,59794,47414,6489296,28485212,1101464,331,20210388,9308016,17150116,0,50769979,52022748,9074940,0
"2022","경상남도",900700816,815210376,8423,281525367,132,400924606,4941633,16288106,0,0,0,107410395,1673472,1680243,0,0,1157986,1345997,375206,134733,99310582,9396894,90823462,0,185185457,216770360,229788568,14154
"2022","경기도",280073114,228440866,2542,200737343,130,24277611,0,2434388,434,2076791,0,34808963,135149,233980,0,159553,122108,25964,16049,312,37394682,22293544,26454549,0,77729919,116525530,0,87898
"2022","전라남도",237769272,183928644,10254,81591930,304,106110932,0,13204145,74,1613,0,35222547,1584655,3653164,0,0,1572989,3724072,62690,133,26273520,13097692,7539689,0,90353523,101359468,0,38187951
"2022","충청남도",741919328,668189790,4040,484876270,285,144764821,0,327155,0,2655,0,30198047,2415386,1853834,0,0,2291161,1998463,102369,195204,33195259,3242765,28608964,0,256404489,150969849,0,228489940
"2022","경상남도",1663642715,1252435669,22317,294660112,322,1038032474,0,22982383,0,0,0,296744787,1174411,2163059,0,0,1203976,2065556,691,162,292573561,6899269,304679661,0,37654026,373961691,725366297,3218519
"2022","전라북도",261818478,167691502,3067,34184621,169,135928103,0,1961942,331,2693,0,83166842,111837,307256,0,0,6823,65195,81230,307980,80644319,1823620,70685829,0,21827184,181347648,0,0
"2022","전라남도",178688806,200826332,8992,150335481,153,44652074,0,11991271,16,5368,0,26742261,3368519,816197,0,0,3101729,794142,594526,261336,35621170,1675044,33094726,0,165365864,48495146,0,2730165
"2022","경기도",325777052,298645211,6495,272715171,353,8299241,0,216912,100243,0,0,18437513,2462805,472246,0,0,1562334,460392,1121377,315004,26346605,4528417,28857432,0,50577738,138788401,0,163584631
"2022","경상남도",827416810,389957126,789,95266079,1562,135934496,0,177784918,57,1048314,0,567299177,140349823,119409186,0,0,68972832,98547501,7504480,2579513,356620545,79999721,213586064,0,149606586,89367565,31003696,32704971
"2022","강원도",1597126456,1529037508,4746,502961997,383,60045592,1345782,141268607,444220428,0,0,473568162,5014636,6296467,48310,29080,0,4975999,9439348,3646349,446701809,12082063,461046595,0,851035842,183977960,96693383,307682
"2022","전라남도",305171955,284465216,2074,331730279,171,0,0,4314903,141589915,1866,0,6925036,2529490,580979,20157,0,2557619,472843,98918,61431,2460852,0,6403222,0,2944369,24837645,0,248270302
"2022","제주특별자치도",1329793578,1188800014,13149,722901301,1959,394030697,0,27688780,254,1090,0,34992704,534223,4938357,0,0,0,7006548,558923,328,12977137,1641616,18423861,0,714195439,164349781,60294622,0
"2022","경상남도",361079588,345042048,0,9069881,117,246573433,0,8511651,99955,0,0,23688916,3014834,3062131,9374514,9029238,2701434,1782714,197639,260262,18092957,15286704,0,0,70068386,175328467,0,246780
"2022","전라남도",498840156,338682865,4327,0,237,247129349,0,10603393,0,1358,0,74607013,0,97394,0,0,0,54634,0,1869,78006888,4086316,71394463,0,32956577,166992451,0,0
"2022","제주특별자치도",2271886524,2214225479,5384,1491766493,10028,212535751,0,1135477,99838,12973373,0,159521665,17155337,8161327,175740,225235,14896097,8187025,517796,518656,151648557,66444717,65199786,0,1073563162,160214191,0,212315626
"2022","전라남도",287848293,284539739,9195,257859826,459,11094152,0,172419,150097,760494,0,4544615,2490441,640278,47235,99876,2420197,381942,121151,163511,321111,17110,0,0,45544932,31416032,0,220999740
"2022","충청남도",1556775204,1462912762,2390,695228677,1510,514978723,0,273815189,380128308,0,102354776,142156364,46792130,113594631,0,0,24548006,91882822,9195920,14731988,5271388,518672,6585430,0,304788821,146437732,0,370029269
"2022","충청남도",366618502,317575981,11035,149497125,1511,77003923,1742480,13707248,90,0,0,124792493,8568324,1048077,0,316650,3830060,314251,4700935,0,128458864,9779802,124783476,0,171058796,49681734,0,43375994
"2022","강원도",1032249812,724421292,7926,502988463,1476,184156407,0,34771121,4600926,231216,0,109458671,3118874,2795487,170749,149852,1074925,2021968,2209121,1413804,104686854,9560565,94203626,0,581025449,119162347,0,22223945
"2022","경기도",358656274,333062588,3083,309608724,170,1749853,0,1976923,63,4440154,0,9611963,275352,163118,0,0,160064,211165,95870,90411,8014766,1637914,7258027,0,294603850,92557863,0,0
"2022","제주특별자치도",1050197498,806581558,5315,831817605,171,35871491,0,0,202,4315186,0,46492470,0,12195,0,0,12,8126,365,977,48927544,3350970,46289435,0,789437555,87327876,256023839,20210171
"2022","경기도",864548169,832241784,2317,604051660,2531,146298874,0,18998881,159,0,0,86341501,45396234,103952972,0,0,43101796,98561776,0,623,49834593,1738428,46734277,0,579657104,108225468,0,57088332
