"조사연도","행정구역시도코드","농가자산","고정자산","토지면적","토지평가금액","건물면적","건물평가금액","구축물금액","기계기구비품금액","대동물금액","대식물금액","무형자산","유동자산","재고자산연초금액","재고자산연말금액","소동물연초금액","소동물연말금액","농축산물연초금액","농축산물연말금액","농업생산자재연초금액","농업생산자재연말금액","당좌자산","현금","예금등금융자산","미수금선급금액","농업용금액","가계용금액","겸업용금액","기타금액"
"2022","경상북도",219639678,130281079,34734,103686211,230,9856286,0,26171361,2066766,25651632,0,47241041,3603670,206980,0,0,0,62305,4013811,832945,46298920,5944230,40845197,0,112682185,21654660,0,0
"2022","경기도",306680376,217301256,1663,84240637,246,118567408,0,1851996,0,0,0,55845373,100749,19981,0,0,102402,0,0,37131,55589938,999529,52855349,0,51121966,111925409,0,0
"2022","제주특별자치도",1311048176,1306447549,8233,1440933214,192,214,0,16816906,0,0,0,57008182,86420,1153669,0,0,14017,959591,72576,85089,56611184,10766001,47933807,0,1364698261,94768533,0,195581
"2022","전라남도",271422670,255371968,1760,262903175,140,6208527,0,482170,0,0,0,21335635,290049,280517,0,0,205435,190341,74196,29515,20785639,3192819,18018358,0,108543637,49865622,0,115563955
"2022","충청북도",169197803,162881788,3903,173093721,161,59,0,0,0,0,0,1523250,671897,859695,210825,180003,452638,636667,42399,15442,1123608,680656,576207,0,144894626,23429092,0,0
"2022","경상남도",898710137,805294646,10500,780457935,181,85853813,0,0,0,0,0,11118002,2295689,6428430,0,0,2376717,7748437,0,187966,7674494,1021572,6368532,0,374282635,171659142,63160937,389412117
"2022","경기도",220905076,131767862,59,85771540,84,38321269,0,10108203,861173,0,0,130562440,2375374,2165774,109745,171265,1689516,1784234,734357,205659,127532887,24752171,110901280,0,42816060,159721842,1275210,22624434
"2022","전라남도",350076608,336840413,18548,296928709,124,15825400,463934,7187189,0,0,2068402,100339272,5485533,1028403,0,0,5039617,213033,645912,865480,100203405,10246949,89652439,0,97118168,25831359,16966109,116625203
"2022","충청남도",685910569,616480222,29265,415302356,1402,145973850,0,19279210,146241,0,0,243645099,24153115,9157156,0,0,23737235,10277306,1110525,1852381,241970552,25736091,207869116,0,474530019,75840296,606689,11399085
"2022","경상남도",1664366484,1719182053,14005,1025306699,2201,470504080,0,29327211,260507520,0,0,36052556,1877071,0,0,0,912417,0,3792579,0,36160235,2069057,32264837,0,923925919,141525290,0,231069916
"2022","전라북도",261929579,205155264,4038,208405708,132,3222209,0,0,58267,0,0,246981,954418,1501598,17433,97977,815502,1427678,149335,0,460242,3563920,-51531,0,52369181,17843335,0,138845040
"2022","전라남도",231467653,159593973,13016,112284846,404,26744947,0,16254775,234320,920040,0,63422034,4277583,4042754,0,0,88396,0,4044571,3244723,58797624,5952680,52751087,0,18680769,34546133,0,75045582
"2022","경기도",270086627,265320905,1135,68383734,852,160677004,0,31656507,702894,0,0,39225771,538552,693313,0,0,569559,680438,52331,0,40080566,2733195,36475119,0,170039692,164954932,0,53712
"2022","경상남도",797829485,248442388,1,141516328,538,101821640,2431153,562945,0,0,0,62071230,2817860,2592401,0,0,2532915,2190736,254822,49139,59879163,2486322,58633944,0,135100255,130930154,0,0
"2022","강원도",1585823163,1524013495,7488,798457287,259,279301576,0,15085002,0,0,0,465844081,165371,695189,0,0,153002,202468,9542,0,456828009,1468840,459744966,0,391866118,286519310,535040135,137457358
"2022","전라남도",258503500,196558628,12774,82145582,293,123005896,497648,0,0,6549473,0,29154019,805576,1022310,0,0,637051,715578,59496,31660,29623174,2986389,26096522,0,55121154,149553151,271261,0
"2022","제주특별자치도",1317766380,1202477759,18732,1062594484,2185,129166360,4233202,118159842,0,8002623,0,60542406,9370786,1899158,597475,5628538,8920920,209687,1004635,1524890,58994771,4472784,54029804,0,771935320,297338723,0,74152365
"2022","경상남도",336389842,282216006,311,113003182,283,141447185,0,23385108,290081,0,0,89556442,907697,474116,0,0,30760,264245,947491,517904,90251030,2162853,90254823,0,134520983,129250227,0,912024
"2022","전라남도",474911608,339272989,5030,71438317,214,93627008,0,1833031,125285,15767483,0,257536906,1044135,1609440,3437300,19336755,1066353,1533652,0,0,252025642,2958846,246521152,0,95045464,27184346,0,0
"2022","제주특별자치도",2274364363,1655016389,21316,1621842374,4194,22159794,0,8998559,195390,27550032,0,172289583,11123072,1014073,0,0,10550721,1725,517745,867270,162916659,9987124,148858765,0,460518768,77873327,0,1168289691
"2022","전라남도",327043028,314229776,8649,94270886,2824,143438391,0,79323549,0,14863195,0,109347398,2756250,2182308,0,0,1874142,1475974,1115923,438113,105487116,14818938,79168949,0,227920522,40398279,0,37841862
"2022","충청남도",1530263254,1430734145,2173,591470887,1146,243729343,0,21709013,0,0,0,130111127,0,0,0,0,0,0,0,0,128261981,3466650,124775683,0,26829051,128238557,158611953,694194898
"2022","충청남도",357916315,195454606,16765,156026121,3440,37610783,0,25753199,0,2017439,0,51853333,566703,671870,0,0,335439,13273,218875,676717,50678965,748576,50251078,0,163964434,13833115,0,1573838
"2022","강원도",1001468862,855944423,1627,438715693,298,167502604,0,19770493,0,7039657,0,112825318,1281753,273700,0,0,672342,190629,576211,194469,111806022,8056300,108204584,0,76701106,163791723,36759665,174073646
"2022","경기도",381256540,359833846,6429,320551939,83,41569899,0,2121179,0,1640969,0,11652363,548922,358232,0,0,549625,317645,22539,27268,11576105,1711869,10898618,0,161244018,115123068,0,0
"2022","제주특별자치도",1054637158,943504483,11210,849669441,157,35221654,0,937634,0,8373070,0,96487712,0,308907,0,0,0,320427,0,0,95682323,1455485,94104335,0,791521928,79862645,0,0
"2022","경기도",825778687,722022906,4159,681341865,155,-126,0,7556173,0,0,0,169160026,0,0,0,0,0,0,0,0,165321918,71703267,69948931,0,368070051,145233508,0,469534047
"2022","경기도",949152368,891375851,12994,462911200,897,373765083,0,82859082,0,425002,0,32731495,1135353,1070695,0,0,1003488,527587,235118,190789,32925164,5969078,28549251,0,557246232,300723732,0,0
"2022","전라북도",431221786,360361992,13388,198340025,82,104337645,0,0,115137,0,0,177480245,4861657,1756396,12628,22967,4430363,1445615,192618,294684,176385279,8965251,168565771,0,52933220,69568056,0,177408150
"2022","인천광역시",920885830,865589399,2679,846422084,397,44404480,0,8715607,0,0,0,3183852,986823,1504297,0,0,847142,1468683,119498,61796,2678580,1977396,1210776,0,517991568,61829636,0,301914649
"2022","경상남도",900269779,805865801,6564,781226313,202,61411274,0,1247529,0,0,0,29985446,1263231,374625,0,0,1283485,328085,48797,0,29170490,3195571,25702532,0,74652974,15056042,0,529204510
"2022","경상북도",177884672,108591397,0,30770,107,104524836,0,0,0,20640242,0,25457713,2026781,2809179,0,0,1829389,2825079,274914,229972,23461808,2457483,20904754,0,14712040,105606975,0,0
"2022","경기도",89432760,65090315,369,58216541,152,-165,0,1304867,0,14050111,0,5266238,275526,392272,0,0,159527,318139,155364,5246,5125334,286774,4890187,0,47236857,16133240,0,0
"2022","경상남도",882613706,846962903,14894,257282319,4514,320887189,4382141,63211697,0,2496661,0,121043618,12895460,1459271,594992,5934427,7724480,789551,2887219,0,119640399,7992096,112077929,0,262355242,122666602,0,246748288
"2022","경상남도",195537183,163226066,1050,103056708,295,27504859,0,29577715,36605480,0,0,17578377,7038914,3386458,116464,49316,6640995,2155711,0,1433365,14170798,5976839,9879154,0,103404029,49225458,0,21383879
"2022","경상남도",410971162,286560717,15886,122134033,478,108634572,0,584074,0,0,0,188989420,388109,218190,0,0,359638,0,0,244729,184043628,9322714,174690397,0,92562521,85528379,10029501,28196153
"2022","강원도",85218944,73100133,2008,55997977,226,6952692,0,431410,0,717161,0,6379268,115030,357617,0,0,0,265741,101173,211537,5839194,1981152,4289903,0,15145238,11053,0,42138964
"2022","전라남도",538759242,426227663,13478,316337779,591,103594957,0,69113190,0,11743961,0,50644074,989157,939458,0,0,992221,385586,0,406213,49157252,5881409,40892883,0,175610863,167637777,0,13511197
"2022","부산광역시",836236137,809265674,12914,764795154,432,64251491,0,46098630,0,0,0,40647531,131263,0,0,0,0,0,149654,0,40108001,4988752,35821271,0,709645073,198031027,0,0
"2022","강원도",439975258,432598186,4157,446555689,319,-176,0,14589883,59938,1750980,0,14515562,955488,1092114,0,0,789802,815847,140682,141870,12996171,4481953,8571145,0,380579026,9064005,0,0
"2022","충청남도",144828390,69196906,1932,33739527,441,43641938,0,942936,0,440714,0,44363517,137527,96403,0,0,56882,99308,41851,73993,44581579,1987652,44708002,0,37178024,61980399,0,758301
"2022","충청남도",568737631,512564429,19601,444782938,302,46876905,0,7275024,467155,0,0,71226225,2087574,1454373,116957,317518,1164971,1139891,952975,265535,70531246,6947925,66579349,0,280196800,236987527,132359821,0
"2022","제주특별자치도",508461383,433831715,1563,327786406,291,86618206,0,2834872,0,14259041,0,62990921,0,0,0,0,0,0,0,0,63467485,8005113,57645416,0,68063735,150699336,0,228665133
"2022","충청북도",104099522,64449561,1827,36548640,322,6743409,0,0,0,0,0,52684827,0,0,0,0,0,0,0,0,52601521,2990478,49902977,0,1020975,27249307,0,27639566
"2022","강원도",60332316,50815081,2325,46948771,189,234957,0,0,0,0,0,3441298,115778,105987,0,0,0,116137,93198,0,3670002,131966,3104950,0,17340515,12451457,45714971,27489227
"2022","경상북도",144578742,134039014,4044,44491356,201,32153068,0,0,0,5176461,0,41044784,541599,835658,0,0,475114,807662,97747,70905,39389400,2176590,37708585,0,35385070,26504825,0,0
"2022","충청남도",560055476,516788118,17963,362342541,3825,124043152,6120754,2517759,75780237,0,0,66226996,4779137,0,0,0,4555340,0,467847,0,66709623,1480560,63934516,0,330149776,47240940,0,0
"2022","전라남도",325000420,314433215,8477,272816283,2779,67314528,26986325,7764884,197592,0,0,38901744,6981103,19739067,58048,310887,5809312,18479896,1384965,199217,17608573,1990384,17310759,0,287253948,51879238,0,0
"2022","전라북도",121987865,49924170,0,-6835,53,43389772,0,948519,0,443277,0,79529687,124211,28604,0,0,85607,20270,39411,38577,78777835,999645,76895344,0,2516564,68197888,0,0
"2022","경상북도",339737269,309041158,3556,256410681,166,61121392,0,2810906,0,4497730,0,20906600,623728,531289,0,0,400729,491008,232241,0,20998716,628262,20934229,0,84025929,32373456,0,197936914
"2022","전라남도",1473756747,1426737587,8683,1141127812,179,235354585,0,47118736,0,0,0,43455099,5421802,3409254,178416,177330,4434653,2405015,101385,0,39760297,3471857,36948713,0,665028851,331434290,0,456427561
