"조사기준연도","행정구역시도코드","대표자성별코드","자본금출자금","자본금중외국자본비율","기업상태변동코드","상호출자제한_기업집단_대상여부","주식시장상장형태코드","주사업_산업대분류코드","주사업산업중분류코드","상용근로_남여합계종사자수","상용근로_남자종사자수","상용근로_여자종사자수","상용근로_본사본점_남여합계종사자수","상용근로_본사본점_남자종사자수","상용근로_본사본점_여자종사자수","상용근로_본사본점_기능직_남여합계종사자수","상용근로_본사본점_기능직_남자종사자수","상용근로_본사본점_기능직_여자종사자수","상용근로_본사본점_현업제조부문_남여합계종사자수","상용근로_본사본점_현업제조부문_남자종사자수","상용근로_본사본점_현업제조부문_여자종사자수","상용근로_본사본점_현업비제조부문_남여합계종사자수","상용근로_본사본점_현업비제조부문_남자종사자수","상용근로_본사본점_현업비제조부문_여자종사자수","상용근로_본사본점이외_남여합계종사자수","상용근로_본사본점이외_남자종사자수","상용근로_본사본점이외_여자종사자수","상용근로_본사본점이외_국내_남여합계종사자수","상용근로_본사본점이외_국내_남자종사자수","상용근로_본사본점이외_국내_여자종사자수","상용근로_본사본점이외_국내_제조업_남여합계종사자수","상용근로_본사본점이외_국내_제조업_남자종사자수","상용근로_본사본점이외_국내_제조업_여자종사자수","상용근로_본사본점이외_국내_도소매업_남여합계종사자수","상용근로_본사본점이외_국내_도소매업_남자종사자수","상용근로_본사본점이외_국내_도소매업_여자종사자수","상용근로_본사본점이외_국내_숙박음식업_남여합계종사자수","상용근로_본사본점이외_국내_숙박음식업_남자종사자수","상용근로_본사본점이외_국내_숙박음식업_여자종사자수","상용근로_본사본점이외_국내_건설업_남여합계종사자수","상용근로_본사본점이외_국내_건설업_남자종사자수","상용근로_본사본점이외_국내_건설업_여자종사자수","상용근로_본사본점이외_국내_운수업_남여합계종사자수","상용근로_본사본점이외_국내_운수업_남자종사자수","상용근로_본사본점이외_국내_운수업_여자종사자수","상용근로_본사본점이외_국내_금융보험업_남여합계종사자수","상용근로_본사본점이외_국내_금융보험업_남자종사자수","상용근로_본사본점이외_국내_금융보험업_여자종사자수","상용근로_본사본점이외_국내_연구개발업_남여합계종사자수","상용근로_본사본점이외_국내_연구개발업_남자종사자수","상용근로_본사본점이외_국내_연구개발업_여자종사자수","상용근로_본사본점이외_국내_기타산업_남여합계종사자수","상용근로_본사본점이외_국내_기타산업_남자종사자수","상용근로_본사본점이외_국내_기타산업_여자종사자수","상용근로_본사본점이외_국외_남여합계종사자수","상용근로_본사본점이외_국외_남자종사자수","상용근로_본사본점이외_국외_여자종사자수","임시일용근로_남여합계종사자수","임시일용근로_남자종사자수","임시일용근로_여자종사자수","임시일용근로_기타_남여합계종사자수","임시일용근로_기타_남자종사자수","임시일용근로_기타_여자종사자수","유형자산_연간증가합계금액","유형자산_토지_연간증가금액","유형자산_건물_연간증가금액","유형자산_구축물_연간증가금액","유형자산_기계장치_연간증가금액","유형자산_선박항공기_연간증가금액","유형자산_차량운반구_연간증가금액","유형자산_건설중인자산_연간증가금액","유형자산_기타_연간증가금액","무형자산_취득_연간증가금액","유형자산_연간감소합계금액","유형자산_토지_연간감소금액","유형자산_건물_연간감소금액","유형자산_구축물_연간감소금액","유형자산_기계장치_연간감소금액","유형자산_선박항공기_연간감소금액","유형자산_차량운반구_연간감소금액","유형자산_건설중인자산_연간감소금액","유형자산_기타_연간감소금액","무형자산_연간감소합계금액","재무구조_자산_총액","재무구조_당좌자산","재무구조_재고자산","재무구조_투자자산","재무구조_유형자산","재무구조_유형자산_토지_연말잔액","재무구조_유형자산_건물_연말잔액","재무구조_유형자산_구축물_연말잔액","재무구조_유형자산_기계장치_연말잔액","재무구조_유형자산_선박항공기_연말잔액","재무구조_유형자산_차량운반구_연말잔액","재무구조_유형자산_건설중인자산_연말잔액","재무구조_유형자산_기타_연말잔액","재무구조_무형자산","재무구조_부채_총액","재무구조_유동부채","재무구조_비유동부채","재무구조_자본총액","재무구조_자본잉여금","경영실적_매출금액영업수익","경영실적_영업비용_매출원가금융보험관련비","경영실적_영업비용_판매비및일반관리비","경영실적_영업외수익금액","경영실적_영업외비","경영실적_법인세차감전순이익"
"2021","경상남도","남",400,0,"변동없음","아니오","비상장","제조업(10~34)","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",97,52,45,68,42,26,16,14,2,52,28,24,0,0,0,29,10,19,29,10,19,29,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5423,4462,0,0,935,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,16467,5174,1072,555,9232,6895,983,0,1132,0,128,13,81,16,10766,5311,5455,5701,0,37639,35473,2089,375,159,293
"2021","인천광역시","남",2097,0,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",197,185,12,195,183,12,46,39,7,149,144,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1404,0,0,0,260,0,0,747,397,0,304,0,0,0,0,0,19,285,0,0,62132,25994,7589,324,27856,18159,5028,193,2582,0,136,462,1296,0,18258,16881,1377,43874,7333,65132,61321,5577,2190,2008,-1584
"2021","경기도","남",1500,0,"변동없음","아니오","비상장","제조업(10~34)","금속가공제품 제조업; 기계 및 가구 제외",96,65,31,88,57,31,22,20,2,66,37,29,0,0,0,8,8,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,11,83,0,55,0,486,0,0,0,0,0,0,0,0,0,0,0,24702,3407,5370,2161,13711,7475,1798,131,1710,0,60,0,2537,1,17157,13556,3601,7545,0,23123,21073,1684,162,426,102
"2021","서울특별시","남",640,0,"변동없음","아니오","비상장","전문, 과학 및 기술 서비스업(70~73)","전문 서비스업",416,220,196,205,95,110,38,12,26,0,0,0,167,83,84,211,125,86,211,125,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,125,86,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,364,0,0,0,0,0,0,0,0,0,0,20262,12681,63,5572,12,0,0,0,0,0,0,0,12,485,3627,3576,51,16635,13922,16515,13306,3462,242,3444,-3455
"2021","전라남도","여",4800,0,"변동없음","아니오","비상장","건설업(41~42)","종합 건설업",223,213,10,31,28,3,31,28,3,0,0,0,0,0,0,192,185,7,192,185,7,0,0,0,0,0,0,0,0,0,192,185,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23365,23195,170,0,0,0,0,0,0,0,33934,33934,0,0,0,0,0,0,0,0,265899,123754,81193,26554,30601,30269,263,0,0,0,51,0,18,0,188505,86819,101686,77394,10952,180501,142686,14357,3325,2077,24706
"2021","경기도","남",2725,100,"변동없음","아니오","비상장","제조업(10~34)","인쇄 및 기록매체 복제업",75,51,24,75,51,24,1,1,0,74,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,28,0,0,0,14,0,3,0,0,0,0,0,2,0,1,0,10213,4093,2936,96,3082,2372,537,34,79,0,24,0,36,0,8190,6850,1340,2023,1064,15823,12948,1807,325,930,463
"2021","경기도","남",4250,0,"변동없음","아니오","비상장","제조업(10~34)","전기장비 제조업",71,65,6,70,64,6,30,26,4,40,38,2,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,20,2,0,0,0,0,0,2,0,0,0,23702,8224,4609,272,10269,9725,413,22,43,0,34,0,32,109,18480,13658,4822,5222,26,15832,14205,4814,238,1055,-4004
"2021","경상남도","남",400,0,"변동없음","아니오","비상장","운수 및 창고업(49~52)","육상운송 및 파이프라인 운송업",73,72,1,73,72,1,3,2,1,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,431,0,0,406,131,60,0,0,0,213,0,2,1,1703,967,736,-823,0,2160,1805,1953,603,108,-1103
"2021","서울특별시","남",682,0,"변동없음","아니오","비상장","정보통신업(58~63)","출판업",85,56,29,85,56,29,85,56,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,1105,1410,137,79,0,0,0,0,0,0,0,79,1130,1336,1336,0,2746,0,4584,0,4384,4,30,174
"2021","경상남도","남",5520,0,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",306,290,16,262,247,15,88,81,7,174,166,8,0,0,0,44,43,1,44,43,1,38,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92524,48014,12950,989,24205,2224,3485,1098,13192,0,23,408,3775,118,40051,38525,1526,52473,0,242974,200580,27266,6890,947,21071
