조사기준연도,행정구역시도코드,대표자성별코드,자본금출자금,자본금중외국자본비율,기업상태변동코드,상호출자제한_기업집단_대상여부,주식시장상장형태코드,주사업_산업대분류코드,주사업산업중분류코드,상용근로_남여합계종사자수,상용근로_남자종사자수,상용근로_여자종사자수,상용근로_본사본점_남여합계종사자수,상용근로_본사본점_남자종사자수,상용근로_본사본점_여자종사자수,상용근로_본사본점_기능직_남여합계종사자수,상용근로_본사본점_기능직_남자종사자수,상용근로_본사본점_기능직_여자종사자수,상용근로_본사본점_현업제조부문_남여합계종사자수,상용근로_본사본점_현업제조부문_남자종사자수,상용근로_본사본점_현업제조부문_여자종사자수,상용근로_본사본점_현업비제조부문_남여합계종사자수,상용근로_본사본점_현업비제조부문_남자종사자수,상용근로_본사본점_현업비제조부문_여자종사자수,상용근로_본사본점이외_남여합계종사자수,상용근로_본사본점이외_남자종사자수,상용근로_본사본점이외_여자종사자수,상용근로_본사본점이외_국내_남여합계종사자수,상용근로_본사본점이외_국내_남자종사자수,상용근로_본사본점이외_국내_여자종사자수,상용근로_본사본점이외_국내_제조업_남여합계종사자수,상용근로_본사본점이외_국내_제조업_남자종사자수,상용근로_본사본점이외_국내_제조업_여자종사자수,상용근로_본사본점이외_국내_도소매업_남여합계종사자수,상용근로_본사본점이외_국내_도소매업_남자종사자수,상용근로_본사본점이외_국내_도소매업_여자종사자수,상용근로_본사본점이외_국내_숙박음식업_남여합계종사자수,상용근로_본사본점이외_국내_숙박음식업_남자종사자수,상용근로_본사본점이외_국내_숙박음식업_여자종사자수,상용근로_본사본점이외_국내_건설업_남여합계종사자수,상용근로_본사본점이외_국내_건설업_남자종사자수,상용근로_본사본점이외_국내_건설업_여자종사자수,상용근로_본사본점이외_국내_운수업_남여합계종사자수,상용근로_본사본점이외_국내_운수업_남자종사자수,상용근로_본사본점이외_국내_운수업_여자종사자수,상용근로_본사본점이외_국내_금융보험업_남여합계종사자수,상용근로_본사본점이외_국내_금융보험업_남자종사자수,상용근로_본사본점이외_국내_금융보험업_여자종사자수,상용근로_본사본점이외_국내_연구개발업_남여합계종사자수,상용근로_본사본점이외_국내_연구개발업_남자종사자수,상용근로_본사본점이외_국내_연구개발업_여자종사자수,상용근로_본사본점이외_국내_기타산업_남여합계종사자수,상용근로_본사본점이외_국내_기타산업_남자종사자수,상용근로_본사본점이외_국내_기타산업_여자종사자수,상용근로_본사본점이외_국외_남여합계종사자수,상용근로_본사본점이외_국외_남자종사자수,상용근로_본사본점이외_국외_여자종사자수,임시일용근로_남여합계종사자수,임시일용근로_남자종사자수,임시일용근로_여자종사자수,임시일용근로_기타_남여합계종사자수,임시일용근로_기타_남자종사자수,임시일용근로_기타_여자종사자수,유형자산_연간증가합계금액,유형자산_토지_연간증가금액,유형자산_건물_연간증가금액,유형자산_구축물_연간증가금액,유형자산_기계장치_연간증가금액,유형자산_선박항공기_연간증가금액,유형자산_차량운반구_연간증가금액,유형자산_건설중인자산_연간증가금액,유형자산_기타_연간증가금액,무형자산_취득_연간증가금액,유형자산_연간감소합계금액,유형자산_토지_연간감소금액,유형자산_건물_연간감소금액,유형자산_구축물_연간감소금액,유형자산_기계장치_연간감소금액,유형자산_선박항공기_연간감소금액,유형자산_차량운반구_연간감소금액,유형자산_건설중인자산_연간감소금액,유형자산_기타_연간감소금액,무형자산_연간감소합계금액,재무구조_자산_총액,재무구조_당좌자산,재무구조_재고자산,재무구조_투자자산,재무구조_유형자산,재무구조_유형자산_토지_연말잔액,재무구조_유형자산_건물_연말잔액,재무구조_유형자산_구축물_연말잔액,재무구조_유형자산_기계장치_연말잔액,재무구조_유형자산_선박항공기_연말잔액,재무구조_유형자산_차량운반구_연말잔액,재무구조_유형자산_건설중인자산_연말잔액,재무구조_유형자산_기타_연말잔액,재무구조_무형자산,재무구조_부채_총액,재무구조_유동부채,재무구조_비유동부채,재무구조_자본총액,재무구조_자본잉여금,경영실적_매출금액영업수익,경영실적_영업비용_매출원가금융보험관련비,경영실적_영업비용_판매비및일반관리비,경영실적_영업외수익금액,경영실적_영업외비,경영실적_법인세차감전순이익
2021,서울특별시,남,182438,0,변동없음,아니오,코스닥,제조업(10~34),"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",414,307,200,223,162,82,129,140,46,20,1,4,0,0,0,260,199,45,237,219,41,145,102,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,249,68,0,0,0,21,4,16,0,0,0,278,0,69,0,6,0,18,0,242,7596,263,0,0,0,0,0,4,0,0,508,602387,62633,16612,54950,16727,0,0,765,39,0,64,1,8349,484,87363,91706,43223,178690,103976,263517,100522,39894,8025,6819,3068
2021,경기도,남,669,0,변동없음,아니오,비상장,도매 및 소매업(45~47),"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",79,45,22,80,57,41,45,47,32,43,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,381,2705,0,0,8,0,44,1231,128,1286,1613,0,0,0,0,0,20,375,0,67,49387,10446,1602,7258,6531,3056,2167,245,4419,0,18,0,1561,14715,18896,8965,3569,110752,-5557,16601,16652,4728,3325,4116,-10907
2021,인천광역시,남,511,0,변동없음,아니오,비상장,제조업(10~34),기타 기계 및 장비 제조업,57,39,5,41,35,6,2,1,1,29,31,0,7,11,0,2,6,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,374,202,0,0,20,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,23737,12087,4864,32,23964,2183,2270,0,2,0,124,-1,1085,0,19097,19932,62472,23363,-6709,17887,19317,4795,460,238,-291
2021,대구광역시,남,300,0,변동없음,아니오,비상장,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 기계 및 장비 제조업,64,25,29,55,21,30,20,8,3,35,24,0,0,0,0,4,2,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,-2369,1852,0,9,10,0,-4,92,0,18,0,-2,1,610,429,459,-168902,-7313,2042,4315,55,108,6,511
2021,경기도,남,1496,0,변동없음,아니오,비상장,도매 및 소매업(45~47),기타 기계 및 장비 제조업,52,45,4,52,52,3,28,22,2,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,119,0,0,0,39,0,0,0,0,0,38,0,0,0,0,0,22683,1210,627,0,6197,4583,831,4,1097,0,114,1,13,1,5535,3237,21,12017,8875,27185,29887,588,288,4,909
2021,서울특별시,남,1103,0,변동없음,아니오,비상장,"예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 및 오락관련 서비스업,145,58,107,46,15,13,9,6,5,0,0,0,39,21,11,106,24,120,125,27,118,15,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,19,0,0,0,4,0,2,0,0,0,1305,0,0,0,0,0,44,0,139,0,1689,15,0,0,0,0,0,0,0,0,59994,11869,888,1036,29564,22360,32932,487,198,0,-6,3,1678,98,19122,12332,276821,13423,55389,13557,24389,12400,1472,357,-4386
2021,경기도,남,1228,0,변동없음,아니오,비상장,제조업(10~34),"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",209,176,22,187,176,13,59,40,33,36,35,0,73,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,48,0,1,879,53,0,180,0,54,0,0,0,0,22,0,0,22637,14044,1806,1272,3478,1304,0,6,995,0,67,65,131,1,6170,10768,1,9515,27930,44746,11064,3271,2086,117,696
2021,경기도,남,2782,0,변동없음,아니오,비상장,숙박 및 음식점업(55~56),숙박업,57,19,25,54,20,19,33,18,17,0,0,0,14,2,5,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3407,0,0,0,65,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,62372,10695,3099,336,80588,63156,22214,1391,201,0,54,0,2032,23,18873,11227,554,64333,10851,15180,6507,7260,373,616,19720
2021,경기도,남,991,0,변동없음,아니오,비상장,제조업(10~34),식료품 제조업,143,98,53,155,88,43,65,46,25,44,30,14,0,0,0,11,3,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2190,0,0,0,0,0,0,79,94,0,813,0,0,0,0,0,0,0,0,0,26189,17692,2273,844,29447,505,5117,15,590,0,21,3,91,421,15516,5271,2819,18050,-13403,35959,68412,2188,485,385,2400
2021,서울특별시,남,449,0,변동없음,아니오,비상장,정보통신업(58~63),출판업,90,81,11,93,84,11,105,85,9,0,0,0,0,0,0,0,3,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7629,4797,465,153,91,0,0,-3,3,0,8,1,85,0,4342,1435,2851,2896,20006,7540,4121,2335,50,2,2595
