"조사기준연도","행정구역시도코드","대표자성별코드","자본금출자금","자본금중외국자본비율","기업상태변동코드","상호출자제한_기업집단_대상여부","주식시장상장형태코드","주사업_산업대분류코드","주사업산업중분류코드","상용근로_남여합계종사자수","상용근로_남자종사자수","상용근로_여자종사자수","상용근로_본사본점_남여합계종사자수","상용근로_본사본점_남자종사자수","상용근로_본사본점_여자종사자수","상용근로_본사본점_기능직_남여합계종사자수","상용근로_본사본점_기능직_남자종사자수","상용근로_본사본점_기능직_여자종사자수","상용근로_본사본점_현업제조부문_남여합계종사자수","상용근로_본사본점_현업제조부문_남자종사자수","상용근로_본사본점_현업제조부문_여자종사자수","상용근로_본사본점_현업비제조부문_남여합계종사자수","상용근로_본사본점_현업비제조부문_남자종사자수","상용근로_본사본점_현업비제조부문_여자종사자수","상용근로_본사본점이외_남여합계종사자수","상용근로_본사본점이외_남자종사자수","상용근로_본사본점이외_여자종사자수","상용근로_본사본점이외_국내_남여합계종사자수","상용근로_본사본점이외_국내_남자종사자수","상용근로_본사본점이외_국내_여자종사자수","상용근로_본사본점이외_국내_제조업_남여합계종사자수","상용근로_본사본점이외_국내_제조업_남자종사자수","상용근로_본사본점이외_국내_제조업_여자종사자수","상용근로_본사본점이외_국내_도소매업_남여합계종사자수","상용근로_본사본점이외_국내_도소매업_남자종사자수","상용근로_본사본점이외_국내_도소매업_여자종사자수","상용근로_본사본점이외_국내_숙박음식업_남여합계종사자수","상용근로_본사본점이외_국내_숙박음식업_남자종사자수","상용근로_본사본점이외_국내_숙박음식업_여자종사자수","상용근로_본사본점이외_국내_건설업_남여합계종사자수","상용근로_본사본점이외_국내_건설업_남자종사자수","상용근로_본사본점이외_국내_건설업_여자종사자수","상용근로_본사본점이외_국내_운수업_남여합계종사자수","상용근로_본사본점이외_국내_운수업_남자종사자수","상용근로_본사본점이외_국내_운수업_여자종사자수","상용근로_본사본점이외_국내_금융보험업_남여합계종사자수","상용근로_본사본점이외_국내_금융보험업_남자종사자수","상용근로_본사본점이외_국내_금융보험업_여자종사자수","상용근로_본사본점이외_국내_연구개발업_남여합계종사자수","상용근로_본사본점이외_국내_연구개발업_남자종사자수","상용근로_본사본점이외_국내_연구개발업_여자종사자수","상용근로_본사본점이외_국내_기타산업_남여합계종사자수","상용근로_본사본점이외_국내_기타산업_남자종사자수","상용근로_본사본점이외_국내_기타산업_여자종사자수","상용근로_본사본점이외_국외_남여합계종사자수","상용근로_본사본점이외_국외_남자종사자수","상용근로_본사본점이외_국외_여자종사자수","임시일용근로_남여합계종사자수","임시일용근로_남자종사자수","임시일용근로_여자종사자수","임시일용근로_기타_남여합계종사자수","임시일용근로_기타_남자종사자수","임시일용근로_기타_여자종사자수","유형자산_연간증가합계금액","유형자산_토지_연간증가금액","유형자산_건물_연간증가금액","유형자산_구축물_연간증가금액","유형자산_기계장치_연간증가금액","유형자산_선박항공기_연간증가금액","유형자산_차량운반구_연간증가금액","유형자산_건설중인자산_연간증가금액","유형자산_기타_연간증가금액","무형자산_취득_연간증가금액","유형자산_연간감소합계금액","유형자산_토지_연간감소금액","유형자산_건물_연간감소금액","유형자산_구축물_연간감소금액","유형자산_기계장치_연간감소금액","유형자산_선박항공기_연간감소금액","유형자산_차량운반구_연간감소금액","유형자산_건설중인자산_연간감소금액","유형자산_기타_연간감소금액","무형자산_연간감소합계금액","재무구조_자산_총액","재무구조_당좌자산","재무구조_재고자산","재무구조_투자자산","재무구조_유형자산","재무구조_유형자산_토지_연말잔액","재무구조_유형자산_건물_연말잔액","재무구조_유형자산_구축물_연말잔액","재무구조_유형자산_기계장치_연말잔액","재무구조_유형자산_선박항공기_연말잔액","재무구조_유형자산_차량운반구_연말잔액","재무구조_유형자산_건설중인자산_연말잔액","재무구조_유형자산_기타_연말잔액","재무구조_무형자산","재무구조_부채_총액","재무구조_유동부채","재무구조_비유동부채","재무구조_자본총액","재무구조_자본잉여금","경영실적_매출금액영업수익","경영실적_영업비용_매출원가금융보험관련비","경영실적_영업비용_판매비및일반관리비","경영실적_영업외수익금액","경영실적_영업외비","경영실적_법인세차감전순이익"
"2021","인천광역시","남",480,0,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",103,38,67,105,39,67,39,35,5,70,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17199,0,0,175,740,0,0,5242,12447,12,16588,0,0,0,0,0,0,7764,120,0,36206,11570,838,2336,45275,17096,14682,0,2441,0,38,0,57791,65,29390,15323,14673,14156,0,53196,48953,1282,924,857,554
"2021","경기도","남",3700,100,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",311,156,164,244,137,90,16,4,12,182,136,79,0,0,0,125,109,21,125,110,21,118,107,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8426,0,0,253,1348,0,63,8072,1339,710,542,0,0,5,65,0,0,2107,9,91,185137,92992,16946,33049,22073,7132,6599,731,174,0,191,6312,3372,3309,71898,72029,2628,96143,0,214624,196606,14270,5726,1907,9030
"2021","서울특별시","남",3000,100,"변동없음","아니오","비상장","도매 및 소매업(45~47)","도매 및 상품 중개업",56,43,12,44,35,11,15,8,7,0,0,0,24,25,3,11,4,7,12,5,7,4,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,21317,10145,1053,14,188,0,0,0,0,0,22,0,37,0,14139,13012,635,8062,0,10335,6457,9020,185,592,334
"2021","경기도","남",3500,0,"변동없음","아니오","비상장","도매 및 소매업(45~47)","도매 및 상품 중개업",18,13,3,18,11,3,18,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3184,0,0,0,3,0,0,0,0,20,44195,29731,3970,6287,552,0,0,0,0,0,0,0,478,173,29231,18372,12383,17297,3351,45122,31508,2750,1341,795,5022
"2021","경상남도","남",18809,100,"변동없음","아니오","비상장","전문, 과학 및 기술 서비스업(70~73)","연구개발업",75,27,47,83,26,38,23,14,9,0,0,0,49,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,32,0,0,0,242,0,0,0,0,0,0,0,0,0,53,2,198984,148053,130,9720,15192,3009,7842,0,0,0,24,0,625,156,111999,130217,3563,103586,0,45369,27199,14961,18317,4487,7022
"2021","경상남도","남",12192,0,"변동없음","아니오","코스닥","제조업(10~34)","기타 운송장비 제조업",549,538,18,293,279,16,81,71,7,186,173,8,0,0,0,329,291,18,323,288,18,243,304,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,2,2,0,0,0,0,0,0,0,40142,1661,13468,1509,3638,0,1023,17240,424,37,25379,8379,0,3,173,0,171,0,0,1468,330806,102111,47967,67760,48829,15979,13799,2737,9579,0,1363,1953,12762,675,173492,157687,22271,160555,0,309933,258629,13300,8024,43417,7057
"2021","서울특별시","남",1180,0,"변동없음","아니오","비상장","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","사업시설 관리 및 조경 서비스업",504,116,398,620,81,552,764,27,554,0,0,0,606,14,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811,0,0,0,0,0,30,1090,0,0,359,0,0,0,0,0,0,0,0,0,3213,669,131,71,2512,0,0,0,0,0,55,1018,74,0,11437,8212,4500,-7168,0,7747,6712,3205,183,551,2475
"2021","경기도","남",5622,100,"변동없음","아니오","비상장","제조업(10~34)","의료, 정밀, 광학기기 및 시계 제조업",347,335,52,300,260,50,202,159,45,30,30,1,0,0,0,81,67,24,81,67,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,57,28,22,0,0,0,1,0,0,0,0,0,4234,0,0,0,16272,0,44,412,1365,0,3059,0,0,0,3,0,0,10,1369,500,106221,57694,30697,0,20350,0,0,0,600,0,56,316,1603,7,61479,52298,9382,52466,72,235941,13683,150615,706,14361,-1262
"2021","부산광역시","남",1400,0,"변동없음","아니오","비상장","제조업(10~34)","섬유제품 제조업; 의복제외",100,54,47,45,29,16,7,5,2,31,27,15,0,0,0,46,20,25,45,20,25,39,10,25,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,13,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,35,5,17,0,250,0,0,0,0,0,0,0,0,0,26938,8412,2922,8061,15921,14993,1958,11,2126,0,66,0,232,3,12398,9202,3615,14481,0,21775,21451,258,496,630,2900
"2021","경기도","남",630,0,"변동없음","아니오","비상장","제조업(10~34)","섬유제품 제조업; 의복제외",51,40,14,55,40,14,7,3,4,48,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,2593,0,34,0,0,279,0,0,0,0,0,0,50,0,0,0,17596,4194,3406,2804,5396,2916,809,22,1126,0,36,0,31,1011,9860,4540,5631,7127,0,13572,14102,1161,9,234,765
