"조사기준연도","행정구역시도코드","대표자성별코드","자본금출자금","자본금중외국자본비율","기업상태변동코드","상호출자제한_기업집단_대상여부","주식시장상장형태코드","주사업_산업대분류코드","주사업산업중분류코드","상용근로_남여합계종사자수","상용근로_남자종사자수","상용근로_여자종사자수","상용근로_본사본점_남여합계종사자수","상용근로_본사본점_남자종사자수","상용근로_본사본점_여자종사자수","상용근로_본사본점_기능직_남여합계종사자수","상용근로_본사본점_기능직_남자종사자수","상용근로_본사본점_기능직_여자종사자수","상용근로_본사본점_현업제조부문_남여합계종사자수","상용근로_본사본점_현업제조부문_남자종사자수","상용근로_본사본점_현업제조부문_여자종사자수","상용근로_본사본점_현업비제조부문_남여합계종사자수","상용근로_본사본점_현업비제조부문_남자종사자수","상용근로_본사본점_현업비제조부문_여자종사자수","상용근로_본사본점이외_남여합계종사자수","상용근로_본사본점이외_남자종사자수","상용근로_본사본점이외_여자종사자수","상용근로_본사본점이외_국내_남여합계종사자수","상용근로_본사본점이외_국내_남자종사자수","상용근로_본사본점이외_국내_여자종사자수","상용근로_본사본점이외_국내_제조업_남여합계종사자수","상용근로_본사본점이외_국내_제조업_남자종사자수","상용근로_본사본점이외_국내_제조업_여자종사자수","상용근로_본사본점이외_국내_도소매업_남여합계종사자수","상용근로_본사본점이외_국내_도소매업_남자종사자수","상용근로_본사본점이외_국내_도소매업_여자종사자수","상용근로_본사본점이외_국내_숙박음식업_남여합계종사자수","상용근로_본사본점이외_국내_숙박음식업_남자종사자수","상용근로_본사본점이외_국내_숙박음식업_여자종사자수","상용근로_본사본점이외_국내_건설업_남여합계종사자수","상용근로_본사본점이외_국내_건설업_남자종사자수","상용근로_본사본점이외_국내_건설업_여자종사자수","상용근로_본사본점이외_국내_운수업_남여합계종사자수","상용근로_본사본점이외_국내_운수업_남자종사자수","상용근로_본사본점이외_국내_운수업_여자종사자수","상용근로_본사본점이외_국내_금융보험업_남여합계종사자수","상용근로_본사본점이외_국내_금융보험업_남자종사자수","상용근로_본사본점이외_국내_금융보험업_여자종사자수","상용근로_본사본점이외_국내_연구개발업_남여합계종사자수","상용근로_본사본점이외_국내_연구개발업_남자종사자수","상용근로_본사본점이외_국내_연구개발업_여자종사자수","상용근로_본사본점이외_국내_기타산업_남여합계종사자수","상용근로_본사본점이외_국내_기타산업_남자종사자수","상용근로_본사본점이외_국내_기타산업_여자종사자수","상용근로_본사본점이외_국외_남여합계종사자수","상용근로_본사본점이외_국외_남자종사자수","상용근로_본사본점이외_국외_여자종사자수","임시일용근로_남여합계종사자수","임시일용근로_남자종사자수","임시일용근로_여자종사자수","임시일용근로_기타_남여합계종사자수","임시일용근로_기타_남자종사자수","임시일용근로_기타_여자종사자수","유형자산_연간증가합계금액","유형자산_토지_연간증가금액","유형자산_건물_연간증가금액","유형자산_구축물_연간증가금액","유형자산_기계장치_연간증가금액","유형자산_선박항공기_연간증가금액","유형자산_차량운반구_연간증가금액","유형자산_건설중인자산_연간증가금액","유형자산_기타_연간증가금액","무형자산_취득_연간증가금액","유형자산_연간감소합계금액","유형자산_토지_연간감소금액","유형자산_건물_연간감소금액","유형자산_구축물_연간감소금액","유형자산_기계장치_연간감소금액","유형자산_선박항공기_연간감소금액","유형자산_차량운반구_연간감소금액","유형자산_건설중인자산_연간감소금액","유형자산_기타_연간감소금액","무형자산_연간감소합계금액","재무구조_자산_총액","재무구조_당좌자산","재무구조_재고자산","재무구조_투자자산","재무구조_유형자산","재무구조_유형자산_토지_연말잔액","재무구조_유형자산_건물_연말잔액","재무구조_유형자산_구축물_연말잔액","재무구조_유형자산_기계장치_연말잔액","재무구조_유형자산_선박항공기_연말잔액","재무구조_유형자산_차량운반구_연말잔액","재무구조_유형자산_건설중인자산_연말잔액","재무구조_유형자산_기타_연말잔액","재무구조_무형자산","재무구조_부채_총액","재무구조_유동부채","재무구조_비유동부채","재무구조_자본총액","재무구조_자본잉여금","경영실적_매출금액영업수익","경영실적_영업비용_매출원가금융보험관련비","경영실적_영업비용_판매비및일반관리비","경영실적_영업외수익금액","경영실적_영업외비","경영실적_법인세차감전순이익"
"2021","충청북도","남",5069,0,"변동없음","아니오","코스닥","제조업(10~34)","화학물질 및 화학제품 제조업; 의약품 제외",170,160,10,135,127,8,89,81,8,46,46,0,0,0,0,35,33,2,35,33,2,35,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,20,2,115,0,0,201,502,1001,213,0,0,0,0,0,0,213,0,0,83638,14351,27078,116,35702,8543,12361,1576,10405,0,59,20,2738,3978,24026,18026,6000,59612,16497,40002,25403,10512,757,564,4280
"2021","서울특별시","남",1041,0,"변동없음","아니오","비상장","도매 및 소매업(45~47)","도매 및 상품 중개업",37,28,9,29,24,5,29,24,5,0,0,0,0,0,0,8,4,4,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,201,0,17,0,29,0,9,0,146,0,10734,4148,3259,403,2464,863,166,1,50,0,58,0,1326,3,2311,1891,420,8423,7,11918,8027,3432,179,64,574
"2021","대전광역시","남",1381,0,"변동없음","아니오","비상장","전문, 과학 및 기술 서비스업(70~73)","건축기술, 엔지니어링 및 기타 과학기술 서비스업",408,365,43,408,365,43,408,365,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,327,0,366,0,0,0,0,0,0,0,0,0,0,0,30952,18018,0,2016,10194,7520,2009,0,0,0,352,0,313,57,5782,5259,523,25170,1474,45565,37229,4923,615,84,3944
"2021","경기도","남",2188,0,"변동없음","아니오","비상장","제조업(10~34)","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",319,260,59,319,260,59,112,80,32,207,180,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10625,0,0,0,6867,0,146,3326,286,922,2648,0,0,0,0,0,0,2648,0,22,86023,45172,7827,1745,24315,3064,6445,0,11082,0,434,2255,1035,347,21451,19387,2064,64572,3590,87451,66811,10620,2732,156,12596
"2021","부산광역시","남",462,0,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",67,27,40,67,27,40,33,13,20,34,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,265,0,69,0,9,21,110,0,59,0,51,0,0,0,0,0,27858,7441,332,1182,18432,8676,8998,69,578,0,57,0,54,352,16004,4529,11475,11854,0,8587,4506,2579,3422,387,4537
"2021","경상북도","남",2000,0,"변동없음","아니오","비상장","숙박 및 음식점업(55~56)","숙박업",26,13,13,26,13,13,2,1,1,0,0,0,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,22800,263,60,0,21632,2623,14283,4056,0,0,3,0,667,0,22328,2091,20237,472,0,4960,1170,3903,27,248,-334
"2021","충청북도","남",6723,0,"변동없음","아니오","코스닥","건설업(41~42)","종합 건설업",204,178,26,177,153,24,80,58,22,97,95,2,0,0,0,27,25,2,27,25,2,1,1,0,0,0,0,0,0,0,26,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,10,0,0,0,6304,4023,1221,846,0,0,46,0,168,31,935,0,0,0,654,0,199,0,82,0,473429,178779,152335,114995,14315,10196,2452,980,391,0,87,0,209,1371,161286,130025,31261,312143,41080,265075,215171,22727,14809,17679,24307
"2021","서울특별시","남",17448,0,"변동없음","아니오","코스닥","제조업(10~34)","비금속 광물제품 제조업",111,103,8,33,29,4,33,29,4,0,0,0,0,0,0,78,74,4,78,74,4,78,74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,30,0,17,0,28,3,1854,1140,563,0,0,0,151,0,0,15,66277,26603,3155,3769,28116,14044,10249,747,2636,0,282,0,158,1329,20125,13665,6460,46152,15239,55030,59422,2348,540,145,-6345
"2021","대구광역시","남",700,0,"변동없음","아니오","비상장","도매 및 소매업(45~47)","소매업; 자동차 제외",58,21,37,25,5,20,25,5,20,0,0,0,0,0,0,33,16,17,33,16,17,0,0,0,28,14,14,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6712,4640,1285,0,0,0,308,0,479,340,311,0,0,0,0,0,0,300,11,0,36805,5552,4768,629,25290,16293,8090,0,0,0,297,0,610,485,28317,24497,3820,8488,0,24152,14904,8032,149,507,858
"2021","서울특별시","남",2698,0,"변동없음","아니오","코스닥","정보통신업(58~63)","정보서비스업",120,62,58,120,62,58,120,62,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,39,0,0,0,2062,130,227,0,0,0,0,0,1,0,226,0,36621,26079,0,6133,2827,0,0,0,596,0,0,0,2231,348,6503,5060,1443,30118,26728,23634,0,20568,749,2787,1028
