"조사기준연도","행정구역시도코드","대표자성별코드","자본금출자금","자본금중외국자본비율","기업상태변동코드","상호출자제한_기업집단_대상여부","주식시장상장형태코드","주사업_산업대분류코드","주사업산업중분류코드","상용근로_남여합계종사자수","상용근로_남자종사자수","상용근로_여자종사자수","상용근로_본사본점_남여합계종사자수","상용근로_본사본점_남자종사자수","상용근로_본사본점_여자종사자수","상용근로_본사본점_기능직_남여합계종사자수","상용근로_본사본점_기능직_남자종사자수","상용근로_본사본점_기능직_여자종사자수","상용근로_본사본점_현업제조부문_남여합계종사자수","상용근로_본사본점_현업제조부문_남자종사자수","상용근로_본사본점_현업제조부문_여자종사자수","상용근로_본사본점_현업비제조부문_남여합계종사자수","상용근로_본사본점_현업비제조부문_남자종사자수","상용근로_본사본점_현업비제조부문_여자종사자수","상용근로_본사본점이외_남여합계종사자수","상용근로_본사본점이외_남자종사자수","상용근로_본사본점이외_여자종사자수","상용근로_본사본점이외_국내_남여합계종사자수","상용근로_본사본점이외_국내_남자종사자수","상용근로_본사본점이외_국내_여자종사자수","상용근로_본사본점이외_국내_제조업_남여합계종사자수","상용근로_본사본점이외_국내_제조업_남자종사자수","상용근로_본사본점이외_국내_제조업_여자종사자수","상용근로_본사본점이외_국내_도소매업_남여합계종사자수","상용근로_본사본점이외_국내_도소매업_남자종사자수","상용근로_본사본점이외_국내_도소매업_여자종사자수","상용근로_본사본점이외_국내_숙박음식업_남여합계종사자수","상용근로_본사본점이외_국내_숙박음식업_남자종사자수","상용근로_본사본점이외_국내_숙박음식업_여자종사자수","상용근로_본사본점이외_국내_건설업_남여합계종사자수","상용근로_본사본점이외_국내_건설업_남자종사자수","상용근로_본사본점이외_국내_건설업_여자종사자수","상용근로_본사본점이외_국내_운수업_남여합계종사자수","상용근로_본사본점이외_국내_운수업_남자종사자수","상용근로_본사본점이외_국내_운수업_여자종사자수","상용근로_본사본점이외_국내_금융보험업_남여합계종사자수","상용근로_본사본점이외_국내_금융보험업_남자종사자수","상용근로_본사본점이외_국내_금융보험업_여자종사자수","상용근로_본사본점이외_국내_연구개발업_남여합계종사자수","상용근로_본사본점이외_국내_연구개발업_남자종사자수","상용근로_본사본점이외_국내_연구개발업_여자종사자수","상용근로_본사본점이외_국내_기타산업_남여합계종사자수","상용근로_본사본점이외_국내_기타산업_남자종사자수","상용근로_본사본점이외_국내_기타산업_여자종사자수","상용근로_본사본점이외_국외_남여합계종사자수","상용근로_본사본점이외_국외_남자종사자수","상용근로_본사본점이외_국외_여자종사자수","임시일용근로_남여합계종사자수","임시일용근로_남자종사자수","임시일용근로_여자종사자수","임시일용근로_기타_남여합계종사자수","임시일용근로_기타_남자종사자수","임시일용근로_기타_여자종사자수","유형자산_연간증가합계금액","유형자산_토지_연간증가금액","유형자산_건물_연간증가금액","유형자산_구축물_연간증가금액","유형자산_기계장치_연간증가금액","유형자산_선박항공기_연간증가금액","유형자산_차량운반구_연간증가금액","유형자산_건설중인자산_연간증가금액","유형자산_기타_연간증가금액","무형자산_취득_연간증가금액","유형자산_연간감소합계금액","유형자산_토지_연간감소금액","유형자산_건물_연간감소금액","유형자산_구축물_연간감소금액","유형자산_기계장치_연간감소금액","유형자산_선박항공기_연간감소금액","유형자산_차량운반구_연간감소금액","유형자산_건설중인자산_연간감소금액","유형자산_기타_연간감소금액","무형자산_연간감소합계금액","재무구조_자산_총액","재무구조_당좌자산","재무구조_재고자산","재무구조_투자자산","재무구조_유형자산","재무구조_유형자산_토지_연말잔액","재무구조_유형자산_건물_연말잔액","재무구조_유형자산_구축물_연말잔액","재무구조_유형자산_기계장치_연말잔액","재무구조_유형자산_선박항공기_연말잔액","재무구조_유형자산_차량운반구_연말잔액","재무구조_유형자산_건설중인자산_연말잔액","재무구조_유형자산_기타_연말잔액","재무구조_무형자산","재무구조_부채_총액","재무구조_유동부채","재무구조_비유동부채","재무구조_자본총액","재무구조_자본잉여금","경영실적_매출금액영업수익","경영실적_영업비용_매출원가금융보험관련비","경영실적_영업비용_판매비및일반관리비","경영실적_영업외수익금액","경영실적_영업외비","경영실적_법인세차감전순이익"
"2021","인천광역시","남",480,0,"변동없음","아니오","비상장","제조업(10~34)","기타 기계 및 장비 제조업",97,83,16,98,82,16,16,9,7,43,27,10,49,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,642,0,26,0,35,1,7,0,0,0,0,0,58,0,1,0,29678,20392,3034,1193,23340,11239,8901,0,2396,0,30,0,205,5,19150,11956,6529,19929,-2,46614,38400,1469,285,244,1082
"2021","경기도","남",3703,0,"변동없음","아니오","비상장","제조업(10~34)","전기장비 제조업",67,61,5,65,61,4,46,44,4,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,288,0,0,0,27,0,0,0,0,0,0,0,21,0,0,0,110841,3311,4821,103390,10301,4210,5804,184,2452,0,25,0,32,158,21151,20524,-10,87542,-2,52544,45938,2702,1334,3005,3755
"2021","서울특별시","남",3004,0,"변동없음","아니오","비상장","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","사업지원 서비스업",838,126,724,810,180,597,764,153,616,0,0,0,40,31,6,39,32,9,37,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,34,0,0,0,12134,12850,-11,788,121,-1,7,0,-1,0,9,0,194,0,3497,2180,1795,6585,-6,20186,0,20485,147,77,-895
"2021","경기도","남",3496,0,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",55,35,22,52,34,23,23,15,8,20,6,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3942,0,534,0,615,0,112,1624,350,0,764,0,0,0,0,0,0,1092,0,0,40243,7649,6526,1,26903,10086,7685,8,1305,0,172,1481,267,-1,29298,20906,9626,10584,4428,45364,39338,1296,462,981,1099
"2021","경상남도","남",18803,100,"변동없음","아니오","비상장","제조업(10~34)","전기장비 제조업",204,185,23,173,149,18,80,71,14,104,82,4,0,0,0,51,50,9,52,49,9,0,46,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8046,0,0,0,0,0,0,5435,1746,239,4014,0,0,0,0,0,0,7061,10,0,232504,101486,10533,36402,55188,25159,11563,825,5539,0,111,3300,2226,562,124221,106564,19329,94985,6851,160356,148258,11931,7186,10833,-12149
"2021","경상남도","남",12186,0,"변동없음","아니오","비상장","제조업(10~34)","자동차 및 트레일러 제조업",81,77,7,89,78,7,12,4,8,85,76,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3768,1003,2224,0,1342,0,99,0,31,0,0,0,1347,0,0,0,0,2078,0,0,18755,6969,428,3,19368,-1,13993,75,3107,0,48,0,684,0,15768,5898,10992,9062,40843,33113,33184,3774,154,2249,-5536
"2021","서울특별시","남",1183,0,"변동없음","아니오","비상장","정보통신업(58~63)","컴퓨터 프로그래밍, 시스템 통합 및 관리업",21,11,10,22,11,10,20,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,12,14,153,427,1,0,0,0,0,0,0,0,0,0,28831,11223,1152,8216,1760,1,2,0,0,0,23,0,2526,2855,5190,3411,1442,22813,3,12048,6734,1711,528,499,5392
"2021","경기도","남",5615,100,"변동없음","아니오","비상장","제조업(10~34)","기타 제품 제조업",38,36,4,39,36,4,6,4,2,34,33,2,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,76,0,273,0,107,0,0,0,0,0,0,0,0,0,65821,34042,15392,4928,974,59,531,0,0,0,102,0,414,0,3900,2858,702,56976,13836,47412,41249,3250,1246,30,5838
"2021","부산광역시","남",1400,0,"변동없음","아니오","비상장","운수 및 창고업(49~52)","창고 및 운송관련 서비스업",55,35,20,37,35,13,42,35,13,0,0,0,0,0,0,21,19,5,14,19,5,0,0,0,0,0,0,0,0,0,0,0,0,270,237,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,1,0,17,0,0,0,36,0,0,0,0,0,0,25,0,0,21018,8383,7,4211,3784,-1,1571,4,-1,0,13,-1,92,0,7209,3749,2719,9695,-13,36465,28821,4227,615,72,5836
"2021","경기도","남",637,0,"변동없음","아니오","비상장","제조업(10~34)","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",55,35,22,48,35,18,31,22,8,6,6,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0,0,0,302,0,0,0,494,0,1,0,0,0,0,0,1,9,0,0,35510,17420,3202,295,12686,6833,2906,286,1760,0,36,1,284,0,18874,16076,2101,15561,16,42732,37035,3810,1905,1161,1355
