"조사기준연도","행정구역시도코드","대표자성별코드","자본금출자금","자본금중외국자본비율","기업상태변동코드","상호출자제한_기업집단_대상여부","주식시장상장형태코드","주사업_산업대분류코드","주사업산업중분류코드","상용근로_남여합계종사자수","상용근로_남자종사자수","상용근로_여자종사자수","상용근로_본사본점_남여합계종사자수","상용근로_본사본점_남자종사자수","상용근로_본사본점_여자종사자수","상용근로_본사본점_기능직_남여합계종사자수","상용근로_본사본점_기능직_남자종사자수","상용근로_본사본점_기능직_여자종사자수","상용근로_본사본점_현업제조부문_남여합계종사자수","상용근로_본사본점_현업제조부문_남자종사자수","상용근로_본사본점_현업제조부문_여자종사자수","상용근로_본사본점_현업비제조부문_남여합계종사자수","상용근로_본사본점_현업비제조부문_남자종사자수","상용근로_본사본점_현업비제조부문_여자종사자수","상용근로_본사본점이외_남여합계종사자수","상용근로_본사본점이외_남자종사자수","상용근로_본사본점이외_여자종사자수","상용근로_본사본점이외_국내_남여합계종사자수","상용근로_본사본점이외_국내_남자종사자수","상용근로_본사본점이외_국내_여자종사자수","상용근로_본사본점이외_국내_제조업_남여합계종사자수","상용근로_본사본점이외_국내_제조업_남자종사자수","상용근로_본사본점이외_국내_제조업_여자종사자수","상용근로_본사본점이외_국내_도소매업_남여합계종사자수","상용근로_본사본점이외_국내_도소매업_남자종사자수","상용근로_본사본점이외_국내_도소매업_여자종사자수","상용근로_본사본점이외_국내_숙박음식업_남여합계종사자수","상용근로_본사본점이외_국내_숙박음식업_남자종사자수","상용근로_본사본점이외_국내_숙박음식업_여자종사자수","상용근로_본사본점이외_국내_건설업_남여합계종사자수","상용근로_본사본점이외_국내_건설업_남자종사자수","상용근로_본사본점이외_국내_건설업_여자종사자수","상용근로_본사본점이외_국내_운수업_남여합계종사자수","상용근로_본사본점이외_국내_운수업_남자종사자수","상용근로_본사본점이외_국내_운수업_여자종사자수","상용근로_본사본점이외_국내_금융보험업_남여합계종사자수","상용근로_본사본점이외_국내_금융보험업_남자종사자수","상용근로_본사본점이외_국내_금융보험업_여자종사자수","상용근로_본사본점이외_국내_연구개발업_남여합계종사자수","상용근로_본사본점이외_국내_연구개발업_남자종사자수","상용근로_본사본점이외_국내_연구개발업_여자종사자수","상용근로_본사본점이외_국내_기타산업_남여합계종사자수","상용근로_본사본점이외_국내_기타산업_남자종사자수","상용근로_본사본점이외_국내_기타산업_여자종사자수","상용근로_본사본점이외_국외_남여합계종사자수","상용근로_본사본점이외_국외_남자종사자수","상용근로_본사본점이외_국외_여자종사자수","임시일용근로_남여합계종사자수","임시일용근로_남자종사자수","임시일용근로_여자종사자수","임시일용근로_기타_남여합계종사자수","임시일용근로_기타_남자종사자수","임시일용근로_기타_여자종사자수","유형자산_연간증가합계금액","유형자산_토지_연간증가금액","유형자산_건물_연간증가금액","유형자산_구축물_연간증가금액","유형자산_기계장치_연간증가금액","유형자산_선박항공기_연간증가금액","유형자산_차량운반구_연간증가금액","유형자산_건설중인자산_연간증가금액","유형자산_기타_연간증가금액","무형자산_취득_연간증가금액","유형자산_연간감소합계금액","유형자산_토지_연간감소금액","유형자산_건물_연간감소금액","유형자산_구축물_연간감소금액","유형자산_기계장치_연간감소금액","유형자산_선박항공기_연간감소금액","유형자산_차량운반구_연간감소금액","유형자산_건설중인자산_연간감소금액","유형자산_기타_연간감소금액","무형자산_연간감소합계금액","재무구조_자산_총액","재무구조_당좌자산","재무구조_재고자산","재무구조_투자자산","재무구조_유형자산","재무구조_유형자산_토지_연말잔액","재무구조_유형자산_건물_연말잔액","재무구조_유형자산_구축물_연말잔액","재무구조_유형자산_기계장치_연말잔액","재무구조_유형자산_선박항공기_연말잔액","재무구조_유형자산_차량운반구_연말잔액","재무구조_유형자산_건설중인자산_연말잔액","재무구조_유형자산_기타_연말잔액","재무구조_무형자산","재무구조_부채_총액","재무구조_유동부채","재무구조_비유동부채","재무구조_자본총액","재무구조_자본잉여금","경영실적_매출금액영업수익","경영실적_영업비용_매출원가금융보험관련비","경영실적_영업비용_판매비및일반관리비","경영실적_영업외수익금액","경영실적_영업외비","경영실적_법인세차감전순이익"
"2021","인천광역시","남",474,0,"변동없음","아니오","비상장","제조업(10~34)","기타 기계 및 장비 제조업",97,71,24,77,62,14,75,58,10,0,0,0,0,0,0,10,8,1,10,8,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,5,5,0,0,0,0,0,0,0,0,0,0,474,0,0,23,102,0,119,0,338,9,31,0,26,22,0,0,0,0,38,0,31164,7577,11558,173,3932,1795,677,-99,1978,0,406,-13,210,268,21574,19518,1282,15064,621,8541,4649,7383,201,500,1248
"2021","경기도","남",3691,0,"변동없음","아니오","비상장","도매 및 소매업(45~47)","도매 및 상품 중개업",739,602,85,257,178,94,257,177,92,0,0,0,0,0,0,610,660,18,641,1034,18,0,0,0,874,499,47,48,-23,6,0,0,0,256,270,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114,0,0,0,38,0,0,521,5952,131,0,0,0,0,0,0,0,0,107,0,229683,163343,54945,20254,71222,29096,21161,335,-8,0,100,545,112102,1562,197028,164325,21897,34785,113863,434349,236246,184910,8624,14304,15231
"2021","서울특별시","남",2987,98,"변동없음","아니오","비상장","제조업(10~34)","기타 기계 및 장비 제조업",359,307,56,89,68,14,65,58,6,21,18,1,0,0,0,277,276,41,275,271,41,190,157,29,56,53,14,0,0,0,5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,179,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42488,16864,8370,2,1160,0,0,-78,24,0,529,-8,827,0,28877,21290,6274,20959,22443,31163,26771,5085,913,468,5192
"2021","경기도","남",3490,0,"변동없음","아니오","코넥스","제조업(10~34)","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",62,45,18,58,34,18,20,16,3,37,15,15,0,0,0,12,9,2,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,40,10,8,2,23,18,-1,0,0,0,0,0,0,4352,2680,634,203,979,0,29,1120,251,33,1170,0,0,0,0,0,0,0,0,3157,21470,4062,-7,255,27301,23173,4911,445,438,0,69,1054,319,671,14970,10674,4387,9193,3907,21243,18407,6376,93,34830,-41314
"2021","경상남도","남",18773,98,"변동없음","아니오","비상장","제조업(10~34)","기타 기계 및 장비 제조업",1134,807,87,454,401,69,286,249,69,157,96,27,0,0,0,920,1142,38,1253,1394,38,1345,-1170,7,383,379,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35219,0,1146,45,1451,0,7,4196,33287,-61115,2531,0,1486,22,0,0,47,905,377,38220,346002,106801,27680,93575,110896,35670,29903,7824,17056,0,165,2864,19231,508,129677,114202,9966,178787,71062,296861,154511,27651,5428,4252,34983
"2021","경상남도","남",12251,0,"변동없음","아니오","비상장","제조업(10~34)","식료품 제조업",93,40,60,65,40,19,4,2,2,61,37,16,0,0,0,6,0,4,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,23648,1057,915,1994,16055,2788,10544,4143,2399,0,8,5,569,-148,17919,13229,5465,2433,-1176,18822,16843,4923,263,357,-1379
"2021","서울특별시","남",1175,0,"법인분할 후 존속","아니오","비상장","정보통신업(58~63)","컴퓨터 프로그래밍, 시스템 통합 및 관리업",81,77,5,73,68,5,80,69,5,0,0,0,0,0,0,16,14,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,12,0,0,0,0,0,0,0,0,0,13,2051,3753,3299,441,1412,177,0,0,5,80,0,21,12,76,1595,1358,390,1109,2337,-1045,19578,6404,1508,39,59,-241
"2021","경기도","남",5627,26,"변동없음","예","비상장","도매 및 소매업(45~47)","소매업; 자동차 제외",1166,140,641,50,28,16,52,28,13,0,0,0,18,19,1,919,96,448,895,93,348,0,0,0,468,117,-653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4236,0,0,0,0,0,0,1590,3927,0,3475,0,0,0,0,0,0,2102,2034,0,216198,64684,11025,69273,51619,28341,16010,18,-5,0,465,291,11266,330,209375,128413,69628,43668,87537,364724,247018,198604,14152,16746,7230
"2021","부산광역시","남",1391,0,"변동없음","아니오","비상장","건설업(41~42)","전문직별 공사업",64,56,11,45,40,6,46,40,6,0,0,0,0,0,0,43,39,3,43,21,3,1,0,0,0,0,0,0,0,0,12,17,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,305,0,0,0,0,0,192,0,77,0,924,673,0,0,0,0,0,0,2,0,30190,24090,-5,-4,328,0,0,30,-4,0,212,15,30,-135,6362,5726,491,21369,-977,71198,60883,3603,331,47,2144
"2021","경기도","남",623,0,"변동없음","아니오","비상장","전문, 과학 및 기술 서비스업(70~73)","건축기술, 엔지니어링 및 기타 과학기술 서비스업",448,348,58,350,337,59,334,320,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,15,0,0,0,0,0,0,207,145,10,8,6,0,0,0,0,0,0,0,51168,43225,-4,8419,1756,828,50,49,465,0,410,21,1,-110,30532,26907,3060,19053,1641,104403,83807,8230,2946,649,9989
