가구구분코드,가구원수,취업인원수,노인가구여부,모자가구여부,맞벌이가구여부,일반가구여부,세대구분코드,배우자코드,가구주_성별코드,가구주_연령,가구주_학력코드,가구주_수학구분코드,가구주_취업여부,가구주_10차산업분류코드,가구주_7차직업분류코드,거처구분코드,자동차보유대수,입주형태코드,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가중값,전국전체가구_1인이상소득5분위코드,전국전체가구_1인이상소득10분위코드,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액,가계지출_비소비지출금액,도시읍면부구분코드
근로자외 가구,2,1,아님,아님,아님,해당,2세대,있음(동거),여자,43,고등학교,졸업,비취업,"기타,무직","기타,무직",단독주택(다가구주택 포함),1,전세,314,83169,0,25,없음,2516,2분위,4분위,300~400만원 미만,3019009,1851701,105297,3835,63050,111439,30555,7836,178201,366909,285911,330120,540153,177455,982409,도시
근로자가구,2,2,아님,아님,아님,해당,2세대,없음,남자,34,대학교(4년제 이상),졸업,취업,제조업,사무 종사자,아 파 트,0,자기집,300,0,1970,26,있음,1955,4분위,7분위,500~600만원 미만,2229429,1741828,292290,53435,56981,196579,22895,244767,60458,223046,140739,0,567749,145225,546891,도시
근로자외 가구,1,1,아님,아님,아님,해당,1세대,없음,여자,44,대학교(4년제 이상),졸업,취업,정보통신업,전문가 및 관련 종사자,오피스텔,1,보증부 월세,3055,157997,0,39,없음,5571,3분위,6분위,400~500만원 미만,3683264,3002817,103737,82177,134668,1352231,137166,79727,210162,127218,53483,0,573865,332052,882355,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,여자,51,대학원(석사),졸업,취업,제조업,사무 종사자,아 파 트,1,자기집,1947,0,565127,108,있음,913,4분위,6분위,400~500만원 미만,3866901,3042448,524240,39464,381348,514389,45961,214256,93773,147594,100042,278884,79464,317994,693440,도시
근로자외 가구,3,3,아님,아님,해당,아님,2세대,있음(동거),남자,74,중학교,졸업,취업,제조업,농림어업숙련 종사자,단독주택(다가구주택 포함),2,자기집,460,0,268068,77,있음,2266,3분위,5분위,300~400만원 미만,3278015,2675410,644782,41581,61219,194600,44278,356062,500927,291432,23100,15133,252359,219616,479900,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,여자,57,고등학교,졸업,취업,보건업 및 사회복지사업,단순노무 종사자,단독주택(다가구주택 포함),1,영구임대,177,10076,0,24,없음,690,2분위,3분위,200~300만원 미만,1388459,700158,104438,37522,0,210011,2703,9965,58886,127358,21219,0,38047,89522,709483,도시
근로자외 가구,2,1,해당,아님,아님,아님,1세대,있음(동거),남자,61,고등학교,졸업,취업,숙박 및 음식점업,서비스 종사자,단독주택(다가구주택 포함),1,자기집,392,0,37006,73,있음,1012,4분위,8분위,600~700만원 미만,3335764,2746377,654627,32597,146936,59465,178078,1014984,112902,41192,21931,5740,444007,347430,714836,도시
근로자가구,3,2,아님,아님,해당,아님,2세대,있음(동거),남자,39,대학교(4년제 이상),졸업,취업,제조업,전문가 및 관련 종사자,아 파 트,2,전세,520,82446,0,85,있음,1189,5분위,9분위,700만원 이상,8424151,4599793,596181,60868,393723,266106,316774,252653,246800,118977,1152833,116566,1325104,514232,3440514,도시
근로자외 가구,1,0,해당,아님,아님,해당,1세대,없음,여자,69,고등학교,졸업,비취업,"기타,무직",단순노무 종사자,아 파 트,0,전세,794,174432,0,83,없음,539,1분위,1분위,100~200만원 미만,1742051,1400660,489807,-228,60957,122368,67548,195097,35667,21331,249771,0,44034,92338,286789,도시
근로자가구,2,2,아님,아님,해당,아님,1세대,있음(동거),남자,39,고등학교,졸업,취업,건설업,단순노무 종사자,아 파 트,1,자기집,916,0,163820,61,있음,759,3분위,6분위,400~500만원 미만,2172008,1738760,106742,3536,150547,86577,110394,48144,174426,165659,64092,0,597773,66563,209715,도시
