"가구구분코드","가구원수","취업인원수","노인가구여부","모자가구여부","맞벌이가구여부","일반가구여부","세대구분코드","배우자코드","가구주_성별코드","가구주_연령","가구주_학력코드","가구주_수학구분코드","가구주_취업여부","가구주_10차산업분류코드","가구주_7차직업분류코드","거처구분코드","자동차보유대수","입주형태코드","월세평가금액","전세보증금","월세사글세","주거용전용면적","주택소유유무","가중값","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가계지출_소비지출_식료품비주류음료구입비","가계지출_소비지출_주류담배구입비","가계지출_소비지출_의류신발구입비","가계지출_소비지출_주거수도광열비","가계지출_소비지출_가정용품가사서비스이용금액","가계지출_소비지출_보건제품구입비","가계지출_소비지출_교통비","가계지출_소비지출_통신비","가계지출_소비지출_오락문화비","가계지출_소비지출_교육비","가계지출_소비지출_음식숙박비","가계지출_소비지출_기타상품서비스이용금액","가계지출_비소비지출금액","도시읍면부구분코드"
"근로자외 가구",2,0,"아님","아님","아님","해당","2세대","없음","여자",50,"대학교(3년제 이하)","졸업","비취업","기타,무직","기타,무직","다세대주택",0,"전세",792,118000,0,60,"없음",1727.9038,"1분위","1분위","100만원 미만",1367555,1308728,537233,13933,18167,109903,58000,175867,21267,98067,62500,0,147300,66492,58827,"도시"
"근로자가구",3,2,"아님","아님","해당","아님","2세대","있음(동거)","남자",49,"고등학교","중퇴","취업","제조업","장치,기계조작 및 조립 종사자","다세대주택",1,"자기집",924,0,210000,60,"있음",1477.1897,"4분위","8분위","600~700만원 미만",5161791,3986468,650875,127200,138590,124470,661745,150485,416061,196580,70200,475000,764650,210612,1175323,"도시"
"근로자가구",2,1,"아님","아님","아님","해당","2세대","없음","여자",56,"대학교(3년제 이하)","졸업","취업","공공행정, 국방 및 사회보장 행정","농림어업숙련 종사자","다세대주택",0,"자기집",792,0,180000,60,"있음",3167.3635,"3분위","5분위","300~400만원 미만",2628313,2100261,737000,7517,92518,103217,64372,636283,23200,84590,211963,0,104517,35083,528052,"도시"
"근로자가구",3,2,"아님","아님","해당","아님","2세대","있음(동거)","남자",43,"대학교(3년제 이하)","중퇴","취업","건설업","사무 종사자","다세대주택",0,"전세",792,140000,0,60,"없음",4097.1037,"4분위","8분위","600~700만원 미만",5267106,3825104,786388,90060,435155,202027,79507,86972,137403,146112,213383,475167,879508,293422,1442002,"도시"
"근로자외 가구",5,5,"아님","아님","해당","아님","2세대","있음(동거)","여자",51,"고등학교","졸업","취업","부동산업","전문가 및 관련 종사자","다세대주택",1,"자기집",792,0,180000,60,"있음",6579.0546,"5분위","10분위","700만원 이상",4114199,3216491,471917,10400,334650,291040,179093,153875,278933,284707,146833,43200,720967,300875,897708,"도시"
"근로자가구",2,2,"아님","아님","아님","해당","2세대","없음","여자",50,"고등학교","졸업","취업","제조업","기능원 및 관련기능 종사자","다세대주택",0,"보증부 월세",748,30000,0,60,"없음",3484.6416,"2분위","4분위","200~300만원 미만",1972954,1701046,331288,28402,16333,498239,69767,72450,49000,200572,71552,0,235410,128033,271909,"도시"
"근로자외 가구",2,0,"아님","아님","아님","해당","2세대","없음","남자",30,"대학교(4년제 이상)","중퇴","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",0,"보증부 월세",500,50000,0,45,"없음",3273.7059,"2분위","3분위","200~300만원 미만",1853750,1805750,323148,1300,65620,547312,56502,79120,50000,78811,32090,80000,201120,290727,48000,"도시"
"근로자가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",42,"고등학교","졸업","취업","협회 및 단체, 수리  및 기타 개인 서비스업","기능원 및 관련기능 종사자","다세대주택",1,"자기집",500,0,250000,63,"있음",3242.5563,"4분위","7분위","500~600만원 미만",2586895,1769642,164538,0,20152,118632,66567,142552,263930,90823,251110,0,570774,80566,817253,"도시"
"근로자가구",3,3,"아님","아님","해당","아님","2세대","있음(동거)","남자",60,"고등학교","졸업","취업","건설업","기능원 및 관련기능 종사자","다세대주택",2,"전세",600,2e+05,0,63,"없음",5139.0146,"5분위","10분위","700만원 이상",4655824,2771828,303795,61272,29267,218797,72302,97383,710588,188438,109380,0,516233,464374,1883996,"도시"
"근로자가구",2,1,"아님","아님","아님","해당","2세대","없음","여자",56,"고등학교","졸업","취업","도매 및 소매업","사무 종사자","다세대주택",1,"전세",600,2e+05,0,63,"있음",3939.2059,"2분위","3분위","200~300만원 미만",2130714,1487882,143353,2783,173033,109107,14533,131993,113608,82575,66597,160333,426067,63899,642832,"도시"
"근로자가구",2,1,"아님","아님","아님","해당","2세대","없음","남자",48,"대학원(석사)","졸업","취업","교육 서비스업","전문가 및 관련 종사자","아 파 트",0,"자기집",1400,0,1320000,70,"있음",2828.1389,"2분위","4분위","200~300만원 미만",1208790,934815,345458,9200,35300,190401,2517,19933,90572,81740,29573,0,85480,44640,273975,"도시"
"근로자가구",2,2,"아님","아님","아님","해당","2세대","없음","여자",65,"대학교(4년제 이상)","중퇴","취업","보건업 및 사회복지사업","서비스 종사자","연립주택",0,"보증부 월세",876,80000,0,69,"없음",2942.9709,"4분위","8분위","600~700만원 미만",2859659,2215752,120341,5833,30204,588097,13532,66485,140317,319994,150996,0,630713,149241,643907,"도시"
"근로자가구",2,2,"아님","아님","아님","해당","2세대","없음","남자",61,"중학교","졸업","취업","제조업","장치,기계조작 및 조립 종사자","연립주택",0,"전세",1320,3e+05,0,74,"없음",2880.6996,"4분위","8분위","600~700만원 미만",4168119,3163310,617950,96695,383789,112765,201722,217778,86443,85667,435173,0,751067,174261,1004810,"도시"
"근로자외 가구",2,1,"아님","아님","아님","해당","2세대","없음","여자",64,"고등학교","졸업","비취업","기타,무직","기타,무직","연립주택",0,"자기집",1320,0,550000,74,"있음",2664.5052,"3분위","6분위","400~500만원 미만",2314624,1786161,438747,833,20833,84562,30150,711382,55133,74420,13417,0,60700,295985,528462,"도시"
