"가구구분코드","가구원수","취업인원수","노인가구여부","모자가구여부","맞벌이가구여부","일반가구여부","세대구분코드","배우자코드","가구주_성별코드","가구주_연령","가구주_학력코드","가구주_수학구분코드","가구주_취업여부","가구주_10차산업분류코드","가구주_7차직업분류코드","거처구분코드","자동차보유대수","입주형태코드","월세평가금액","전세보증금","월세사글세","주거용전용면적","주택소유유무","가중값","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가계지출_소비지출_식료품비주류음료구입비","가계지출_소비지출_주류담배구입비","가계지출_소비지출_의류신발구입비","가계지출_소비지출_주거수도광열비","가계지출_소비지출_가정용품가사서비스이용금액","가계지출_소비지출_보건제품구입비","가계지출_소비지출_교통비","가계지출_소비지출_통신비","가계지출_소비지출_오락문화비","가계지출_소비지출_교육비","가계지출_소비지출_음식숙박비","가계지출_소비지출_기타상품서비스이용금액","가계지출_비소비지출금액","도시읍면부구분코드"
"근로자외 가구",4,2,"해당","아님","해당","아님","2세대","있음(동거)","남자",72,"중학교","졸업","취업","농업, 임업 및 어업","농림어업숙련 종사자","단독주택(다가구주택 포함)",1,"자기집",200,0,80000,79,"있음",1294.5741,"3분위","5분위","400~500만원 미만",3729008,3105573,915163,41410,135850,207105,228183,274688,197482,394027,39250,0,72800,140700,309888,"비도시"
"근로자외 가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",38,"대학원(석사)","졸업","취업","숙박 및 음식점업","서비스 종사자","아 파 트",1,"전세",2500,4e+05,0,84,"없음",3306.9746,"4분위","8분위","600~700만원 미만",4049741,2589354,160625,8233,430310,274450,227153,47056,516167,119943,438963,0,744825,291869,1032944,"도시"
"근로자가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",33,"대학교(4년제 이상)","졸업","취업","금융 및 보험업","사무 종사자","아 파 트",1,"전세",1800,3e+05,0,106,"없음",2094.5144,"5분위","10분위","700만원 이상",9798406,9024267,218133,20450,144540,166629,2052165,436030,1515275,622992,122040,0,772900,207635,4926405,"도시"
"근로자가구",4,2,"아님","아님","아님","해당","2세대","있음(동거)","남자",62,"중학교","졸업","취업","건설업","단순노무 종사자","단독주택(다가구주택 포함)",1,"보증부 월세",450,70000,0,63,"없음",1851.5237,"2분위","4분위","300~400만원 미만",2259578,1927112,570673,42130,61567,590898,14426,153283,224817,115080,27410,0,331167,225832,294666,"도시"
"근로자외 가구",2,0,"해당","아님","아님","아님","1세대","있음(동거)","남자",74,"중학교","졸업","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",1,"자기집",600,0,250000,112,"있음",844.449,"1분위","2분위","100~200만원 미만",1640809,1654933,344960,4427,21967,162208,61738,633423,95358,65190,66837,0,119420,37093,256867,"비도시"
"근로자가구",2,1,"아님","아님","아님","해당","1세대","있음(동거)","남자",42,"고등학교","졸업","취업","정보통신업","전문가 및 관련 종사자","아 파 트",2,"자기집",532,0,320000,85,"있음",1188.9043,"5분위","10분위","700만원 이상",6922997,3866627,417217,154150,78100,182719,254935,275785,296767,309266,239338,0,960833,336084,1704443,"도시"
"근로자가구",4,2,"아님","아님","해당","아님","2세대","있음(동거)","남자",53,"고등학교","졸업","취업","보건업 및 사회복지사업","단순노무 종사자","아 파 트",1,"자기집",1270,0,350000,51,"있음",2078.3145,"3분위","6분위","400~500만원 미만",2568167,2044396,391747,88613,337967,160500,10200,26800,325650,74310,26600,110000,343747,146897,492495,"도시"
"근로자가구",3,3,"아님","아님","아님","해당","2세대","없음","여자",49,"고등학교","졸업","취업","협회 및 단체, 수리  및 기타 개인 서비스업","사무 종사자","연립주택",1,"보증부 월세",570,57000,0,65,"없음",2245.937,"5분위","10분위","700만원 이상",8397098,4258030,614213,47627,163967,591445,59045,40473,157550,355795,104691,0,296267,464438,2815833,"도시"
"근로자가구",3,1,"아님","아님","아님","해당","2세대","있음(동거)","남자",49,"대학교(3년제 이하)","졸업","취업","정보통신업","단순노무 종사자","아 파 트",1,"자기집",1400,0,550000,74,"있음",2294.7421,"2분위","3분위","200~300만원 미만",3252896,2411253,435541,29158,42520,270088,28420,83265,241483,143919,47420,311667,548955,169568,958128,"도시"
"근로자가구",2,1,"해당","아님","아님","아님","1세대","있음(동거)","남자",70,"대학교(4년제 이상)","졸업","취업","교육 서비스업","전문가 및 관련 종사자","아 파 트",2,"자기집",900,0,3e+05,134,"있음",1151.8354,"5분위","10분위","700만원 이상",4863366,3409393,653292,463,63225,153667,59900,1767510,252827,51558,20988,0,82800,778097,1652994,"도시"
