"가구구분코드","가구원수","취업인원수","노인가구여부","모자가구여부","맞벌이가구여부","일반가구여부","세대구분코드","배우자코드","가구주_성별코드","가구주_연령","가구주_학력코드","가구주_수학구분코드","가구주_취업여부","가구주_10차산업분류코드","가구주_7차직업분류코드","거처구분코드","자동차보유대수","입주형태코드","월세평가금액","전세보증금","월세사글세","주거용전용면적","주택소유유무","가중값","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가계지출_소비지출_식료품비주류음료구입비","가계지출_소비지출_주류담배구입비","가계지출_소비지출_의류신발구입비","가계지출_소비지출_주거수도광열비","가계지출_소비지출_가정용품가사서비스이용금액","가계지출_소비지출_보건제품구입비","가계지출_소비지출_교통비","가계지출_소비지출_통신비","가계지출_소비지출_오락문화비","가계지출_소비지출_교육비","가계지출_소비지출_음식숙박비","가계지출_소비지출_기타상품서비스이용금액","가계지출_비소비지출금액","도시읍면부구분코드"
"근로자외 가구",4,4,"아님","아님","해당","아님","2세대","있음(동거)","남자",56,"고등학교","졸업","취업","협회 및 단체, 수리  및 기타 개인 서비스업","서비스 종사자","단독주택(다가구주택 포함)",1,"보증부 월세",393,85000,0,33.1834120871842,"없음",1858.18884878132,"5분위","9분위","700만원 이상",4972580,4387781,516708,228639,53028,261492,60010,132742,290382,343014,1189747,66693,987694,903227,1886763,"비도시"
"근로자외 가구",2,0,"아님","아님","아님","해당","2세대","없음","여자",61,"고등학교","졸업","비취업","기타,무직","기타,무직","아 파 트",1,"자기집",741,6,144938,58.4767030978115,"있음",368.076657076255,"3분위","5분위","300~400만원 미만",1080942,903976,208983,2846,33783,84445,51803,11067,59165,26657,36021,0,158820,79787,195301,"도시"
"근로자가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",35,"대학교(4년제 이상)","졸업","취업","농업, 임업 및 어업","농림어업숙련 종사자","단독주택(다가구주택 포함)",1,"전세",98,20003,0,66.0409650759958,"없음",255.988618110422,"1분위","2분위","100~200만원 미만",2600646,2052262,261306,10022,217067,197695,166444,37273,88582,143866,227262,12463,419977,189317,631527,"도시"
"근로자가구",4,1,"아님","아님","아님","해당","2세대","있음(동거)","남자",37,"대학교(4년제 이상)","졸업","취업","제조업","전문가 및 관련 종사자","아 파 트",2,"자기집",1602,0,519908,84.7083313804437,"있음",4617.90948012074,"5분위","9분위","700만원 이상",5536009,3200650,635893,0,154918,448480,120116,567185,156934,243298,174190,567036,691065,228288,2714551,"도시"
"근로자외 가구",2,1,"아님","아님","아님","해당","1세대","있음(동거)","남자",61,"중학교","졸업","취업","도매 및 소매업","단순노무 종사자","연립주택",0,"자기집",302,0,90427,85.7946216057694,"있음",339.005686678857,"2분위","3분위","200~300만원 미만",572081,538159,53748,127,0,39946,123,0,108149,76225,24283,10,31918,108203,229260,"비도시"
"근로자가구",2,1,"아님","아님","아님","해당","1세대","있음(동거)","남자",54,"중학교","졸업","취업","건설업","기능원 및 관련기능 종사자","연립주택",1,"보증부 월세",353,5006,0,48.9859495718043,"없음",655.074092753415,"2분위","4분위","300~400만원 미만",3602344,2699191,553754,32813,19547,335706,40051,615945,250682,133288,14501,40,744066,188747,188280,"도시"
"근로자가구",4,2,"아님","아님","해당","아님","2세대","있음(동거)","여자",45,"고등학교","졸업","취업","도매 및 소매업","사무 종사자","아 파 트",1,"자기집",771,0,229650,133.57258889365,"있음",1736.73810494332,"3분위","6분위","400~500만원 미만",5029240,3828064,370190,896,131557,290230,84517,183788,251214,166272,311136,1066138,461802,197874,1788843,"도시"
"근로자가구",3,2,"아님","아님","아님","해당","2세대","없음","여자",71,"초등학교","졸업","취업","협회 및 단체, 수리  및 기타 개인 서비스업","단순노무 종사자","단독주택(다가구주택 포함)",0,"자기집",197,0,39549,69.6049856926574,"있음",1612.60677590429,"4분위","7분위","500~600만원 미만",4983916,2425265,213691,14471,288102,133471,144176,609277,160378,391446,168338,0,241214,179556,1154982,"도시"
"근로자가구",3,2,"아님","아님","해당","아님","3세대이상","있음(동거)","남자",52,"대학원(석사)","졸업","취업","협회 및 단체, 수리  및 기타 개인 서비스업","사무 종사자","아 파 트",1,"자기집",1082,0,429314,102.975340268909,"있음",526.600441951526,"5분위","10분위","700만원 이상",10839800,5035368,1143820,0,363655,284629,320792,107890,113108,498344,145076,651152,670476,329029,7031799,"도시"
"근로자가구",2,1,"아님","아님","아님","해당","2세대","있음(비동거)","남자",53,"대학원(석사)","졸업","취업","전문, 과학 및 기술 서비스업","전문가 및 관련 종사자","아 파 트",1,"자기집",303,1,69939,66.1564534036299,"있음",424.559626933698,"5분위","9분위","700만원 이상",3636037,1916084,271498,94862,26673,136419,6527,114734,651378,485979,107195,608354,98421,102234,1172673,"도시"
"근로자외 가구",3,0,"아님","아님","아님","해당","2세대","있음(동거)","남자",74,"중학교","졸업","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",1,"자기집",1298,2,380318,93.094623662918,"있음",527.789983403064,"4분위","8분위","600~700만원 미만",3773012,2760831,763142,41,39314,103658,157788,140792,128990,184996,387546,15,191901,296297,492938,"도시"
