"가구구분코드","가구원수","취업인원수","노인가구여부","모자가구여부","맞벌이가구여부","일반가구여부","세대구분코드","배우자코드","가구주_성별코드","가구주_연령","가구주_학력코드","가구주_수학구분코드","가구주_취업여부","가구주_10차산업분류코드","가구주_7차직업분류코드","거처구분코드","자동차보유대수","입주형태코드","월세평가금액","전세보증금","월세사글세","주거용전용면적","주택소유유무","가중값","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가계지출_소비지출_식료품비주류음료구입비","가계지출_소비지출_주류담배구입비","가계지출_소비지출_의류신발구입비","가계지출_소비지출_주거수도광열비","가계지출_소비지출_가정용품가사서비스이용금액","가계지출_소비지출_보건제품구입비","가계지출_소비지출_교통비","가계지출_소비지출_통신비","가계지출_소비지출_오락문화비","가계지출_소비지출_교육비","가계지출_소비지출_음식숙박비","가계지출_소비지출_기타상품서비스이용금액","가계지출_비소비지출금액","도시읍면부구분코드"
"근로자외 가구",4,1,"아님","아님","아님","해당","2세대","있음(동거)","남자",45,"대학교(3년제 이하)","졸업","취업","부동산업","전문가 및 관련 종사자","아 파 트",1,"자기집",746,0,396251,58.6004638706638,"있음",625.169682726635,"5분위","9분위","700만원 이상",6400620,4849832,1069575,133090,177626,327151,111357,409929,112461,315446,587995,1819841,570876,290221,823670,"도시"
"근로자외 가구",2,1,"아님","아님","아님","해당","2세대","없음","남자",54,"고등학교","졸업","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",0,"보증부 월세",318,756,0,44.5976686775358,"있음",700.672084568165,"2분위","4분위","200~300만원 미만",1963625,1638609,452182,45104,130791,428359,85379,77584,154371,17155,40842,0,151382,125704,112258,"비도시"
"근로자가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",41,"대학교(4년제 이상)","졸업","취업","교육 서비스업","전문가 및 관련 종사자","아 파 트",1,"자기집",992,0,396460,83.5789710819336,"있음",3901.87633352565,"5분위","9분위","700만원 이상",10437123,6654700,177622,7659,693961,101847,64645,302756,384901,218908,1349622,107317,922451,361763,3390888,"도시"
"근로자가구",4,2,"아님","아님","해당","아님","2세대","있음(동거)","남자",51,"대학교(4년제 이상)","졸업","취업","부동산업","사무 종사자","아 파 트",0,"전세",796,243702,0,108.633118974605,"없음",710.030945604855,"5분위","9분위","700만원 이상",5737688,3300050,413297,61729,110261,163334,33329,37357,209909,161197,826486,818541,557882,56054,2617281,"도시"
"근로자외 가구",2,0,"아님","아님","아님","해당","1세대","있음(동거)","남자",69,"대학교(4년제 이상)","졸업","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",1,"자기집",449,0,346646,65.6023346679711,"있음",918.023553438133,"4분위","8분위","600~700만원 미만",4177829,3604300,655227,288,132652,131121,8884,218944,804881,61697,615094,168168,340747,250620,1103391,"도시"
"근로자가구",2,0,"아님","아님","아님","해당","1세대","있음(동거)","남자",61,"대학교(4년제 이상)","졸업","비취업","기타,무직","기타,무직","아 파 트",1,"자기집",1580,0,99046,178.034249424052,"있음",680.556374678211,"3분위","5분위","300~400만원 미만",28213525,18757224,281292,2466,40162,85340,229269,266051,18779793,129480,30770,0,443104,488898,11719003,"도시"
"근로자가구",4,0,"아님","아님","아님","해당","2세대","있음(동거)","남자",45,"대학교(3년제 이하)","졸업","비취업","기타,무직","기타,무직","아 파 트",0,"보증부 월세",1950,325012,0,83.6161928224644,"있음",949.453854750861,"3분위","5분위","400~500만원 미만",3245966,2834461,460904,129553,0,1298256,127968,229803,4038,246087,15810,418466,383362,109101,714418,"도시"
"근로자가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",29,"고등학교","졸업","취업","건설업","기능원 및 관련기능 종사자","단독주택(다가구주택 포함)",1,"전세",647,155399,0,81.6064700103447,"없음",3595.87111613461,"4분위","7분위","500~600만원 미만",2528082,1933238,201281,14526,106133,204647,48433,41261,416021,136043,299858,0,727307,80205,147664,"도시"
"근로자가구",3,1,"아님","아님","아님","해당","2세대","있음(동거)","남자",41,"대학교(4년제 이상)","졸업","취업","제조업","사무 종사자","아 파 트",1,"전세",893,256702,0,85.0031977258014,"없음",2253.90134844003,"3분위","6분위","400~500만원 미만",4219743,2676074,897210,107084,38276,217572,118891,234789,360942,136648,117275,81796,474389,109328,825363,"비도시"
"근로자가구",2,1,"아님","아님","아님","해당","2세대","없음","여자",33,"대학교(4년제 이상)","졸업","취업","건설업","사무 종사자","단독주택(다가구주택 포함)",0,"보증금 없는 월세",171,0,0,59.8441104891673,"없음",481.867944480067,"1분위","2분위","100~200만원 미만",880366,747669,167914,9582,15744,203543,171293,16911,3413,42840,76570,0,22705,43097,13,"도시"
